Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,22.9,22.9,22.6,22.8,192,301659,6859297.3
6/2/21,22.9,23,22.6,22.8,99,145469,3319041.6
6/1/21,22.9,22.9,22.7,22.8,134,225332,5139141.4
5/31/21,23,23.1,22.8,23,260,496042,11394461.9
5/28/21,22.9,22.9,22.4,22.5,269,1504895,33916392.9
5/25/21,23,23,22.3,22.6,234,460460,10388791.6
5/24/21,22.8,22.9,22.4,22.6,214,189244,4257876.4
5/21/21,23.2,23.2,22.3,22.7,176,403666,9138766.4
5/20/21,23.2,23.5,22.7,22.8,231,440424,10115507.9
5/19/21,23.2,23.4,23,23.2,100,187284,4318486.7
5/18/21,22.6,23.2,22.3,23,179,909116,20559380
5/17/21,22.7,22.8,22.4,22.6,308,1247768,28095781.9
5/13/21,22.2,22.6,22,22.3,259,513979,11354550.1
5/12/21,22.5,22.7,22.4,22.6,43,13725,310359.4
5/11/21,22.3,22.6,22.3,22.5,68,207272,4661735.1
5/10/21,23,23,22.2,22.4,173,129595,2918196.2
5/7/21,23,23,22.7,23,99,222749,5103552.4
5/6/21,22.6,23.3,22.6,22.9,74,119869,2754978.2
5/5/21,22.7,23,22.5,22.7,64,134042,3029080.3
5/4/21,22.5,22.7,22.3,22.5,100,198786,4466124.2
5/3/21,22.6,22.9,22.5,22.6,141,180827,4092402.7
4/30/21,23,23.2,22.7,23,38,301972,6946349.8
4/29/21,23.3,23.3,22.5,23,104,247700,5689479.1
4/28/21,22.1,23.2,22.1,23.1,147,280873,6431327.3
4/27/21,22.5,22.6,22,22.1,246,627705,13943952.2
4/23/21,22.5,23,22.4,22.6,219,405260,9186232.6
4/22/21,23.5,23.5,22.5,22.7,207,292381,6706928.5
4/21/21,22.9,23.8,22.5,23.5,124,147325,3399723
4/20/21,24,24.5,22.8,23.1,346,601628,14169011.1
4/19/21,24.9,25,23.8,23.9,364,984216,23682829.6
4/16/21,25.2,25.5,24.1,24.6,182,488907,12117683.1
4/15/21,24.5,25.4,24.2,25,323,965750,23931261.2
4/12/21,24.6,24.8,24,24.4,230,332568,8040382
4/9/21,24,25,24,24.5,439,832538,20485206.9
4/8/21,23.6,24,23,23.9,304,1839436,43879198.6
4/7/21,24,24,23.5,23.6,218,257912,6144320.6
4/6/21,23.3,24,23.3,24,193,704088,16855771.8
4/5/21,23.5,24,23.3,23.5,286,552942,13061382.6
4/1/21,22.4,23.5,22,23,129,281476,6435313.7
3/31/21,22.1,22.5,21.9,22.1,88,158325,3487238.9
3/30/21,22.2,22.2,21.8,21.9,130,229765,5060267.2
3/29/21,22.5,22.5,22,22,122,221177,4888127.8
3/26/21,22.2,22.5,21.9,22.1,103,101084,2232997
3/25/21,22.5,22.9,22,22.1,126,151079,3388685.6
3/24/21,21.4,22.5,21.4,22.1,171,230019,5070878
3/23/21,21.8,22,21.5,21.8,137,561454,12086788.2
3/22/21,21.2,22,21.2,21.9,99,90893,1973983.4
3/19/21,22,22,21.2,21.4,219,301791,6501631.6
3/18/21,22.5,22.5,21.6,21.9,189,424861,9312428.4
3/17/21,22.6,22.8,22,22.4,96,191934,4302151.9
3/16/21,23,23,22,22.5,162,238441,5379443.6
3/15/21,23.2,23.5,23,23,71,97746,2255611.3
3/12/21,23,23.5,23,23.3,70,153756,3596001.2
3/10/21,23.3,24,23,23,149,346477,7979912.1
3/9/21,24,25,23.3,23.6,249,419720,10116116.7
3/8/21,23.1,23.9,22.5,23.1,243,580291,13393720.7
3/5/21,22,22.9,21,22.6,141,389105,8615257.4
3/4/21,22.8,23.4,22,22.1,216,451880,10140030.1
3/3/21,23.2,23.4,22.5,22.5,396,811411,18403459.5
3/2/21,24,24,23.3,23.4,222,303094,7134802.5
3/1/21,24.9,24.9,23.8,24,125,102544,2481671.5
2/25/21,24,24.3,23.8,24.1,305,1961422,47101890.4
2/24/21,23,24.2,23,23.9,167,375614,8981560
2/23/21,24.5,24.6,23,23.5,359,1801467,43066007.6
2/22/21,25.7,25.7,24.6,25,191,844806,21121160.2
2/19/21,25.5,25.7,25,25.2,164,1176818,29687778.5
2/18/21,24.5,25.6,24.5,25.2,172,435421,10930355.5
2/17/21,24.1,25,23.1,24.5,270,570325,13784200.1
2/16/21,25,25.6,24,24.1,375,773407,18803235.4
2/15/21,26.6,26.6,25,25.1,413,806944,20668563
2/12/21,25.5,27,25.5,26.5,377,676744,17814000.1
2/11/21,25.5,26.5,23.6,25,466,1144342,28246511.5
2/10/21,25.9,27,25,25.3,487,1535716,39608919.8
2/9/21,26.1,26.8,25.2,25.6,260,523882,13404214.8
2/8/21,26.9,27.3,26,26.1,250,646398,17146468
2/5/21,27,27.9,26.7,26.9,239,348910,9435115
2/3/21,27.9,28,25.3,27,506,1824088,49242404.7
2/2/21,28.2,29,24.7,26.2,572,1966755,52918683.5
