Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,88.8,91,88.4,90.1,358,2884062,259524928.4
6/2/21,90,90,88,88.8,208,1618479,145467188.5
6/1/21,87,89.9,87,89.4,625,1101824,97772632.8
5/31/21,86,87.3,85,87,306,554750,47985111.7
5/28/21,85.5,85.9,84.5,85.5,148,89020,7593995
5/25/21,83,86,83,84.6,242,598401,50391136.9
5/24/21,82.6,83.4,82.5,83,158,281233,23335315.7
5/21/21,83.3,84,82.5,83,133,452719,37556582.4
5/20/21,85,85,83,83.3,194,275171,22975675.6
5/19/21,84.6,85.9,83.9,84.9,170,161791,13655708.7
5/18/21,84.5,84.9,83,84.4,159,94793,7952230.8
5/17/21,82,84.6,82,83.8,205,267911,22375244.7
5/13/21,80.6,82,80.6,81.9,126,144542,11786918.4
5/12/21,80.7,80.9,80.2,80.6,116,1761959,141842720.9
5/11/21,80.5,80.9,80.5,80.6,80,56066,4520096.5
5/10/21,81.5,81.5,79.6,80.4,145,451866,36118998.9
5/7/21,79.5,83,79.4,80.1,215,7637895,610974427.3
5/6/21,80,80,79.2,79.6,179,467063,37222862.7
5/5/21,79.9,80.3,79.6,80,109,42083,3367211.7
5/4/21,80,80,79,79.3,255,246591,19566159.1
5/3/21,80.5,80.5,79.1,79.5,213,386294,30718186.3
4/30/21,80.6,81,80.5,80.7,60,18771,1514977
4/29/21,80.5,81,80,80,200,503335,40315193.3
4/28/21,79.5,81,79.5,80.9,157,92658,7420075
4/27/21,81,81.5,79,79.3,568,578228,46203136.5
4/23/21,82.1,83.5,81.9,82.2,394,308777,25429967.4
4/22/21,85,85,83.5,83.9,198,159600,13413992.5
4/21/21,85,85.8,83.8,84.9,275,164250,13842322.5
4/20/21,86.3,86.5,84.9,85.3,212,262262,22391280.4
4/19/21,86.8,86.8,85.9,86.3,133,80787,6962099.5
4/16/21,87,87.2,86.5,86.8,143,396255,34447648.4
4/15/21,87.3,87.3,86.6,87,212,1825690,158820523
4/12/21,86.3,87.3,86.3,87,192,246647,21394247.2
4/9/21,85.9,86.4,85.7,86.1,211,216409,18610127.4
4/8/21,85.6,86,85,85.7,196,355536,30436967.5
4/7/21,85.5,86.6,85.4,85.6,173,201247,17240643.9
4/6/21,84.7,86.2,84.6,85.7,138,287570,24620284.3
4/5/21,85.6,85.9,84.5,84.7,221,278735,23602454.7
4/1/21,85.3,86,85,85.6,161,42383,3626384.5
3/31/21,88,88,85.1,85.5,391,172363,14849779.6
3/30/21,90.8,91,90,90.2,399,909770,82150501
3/29/21,89,92.5,88.8,90.8,362,5840761,515015045.3
3/26/21,89,89.9,87.5,88.6,192,290410,25705962.2
3/25/21,89.9,89.9,88,89.1,131,53513,4767019
3/24/21,87.7,90,87,89.6,158,165842,14743793
3/23/21,86.6,87.7,85.7,87.2,95,36693,3171321.5
3/22/21,86.5,86.9,86,86.4,134,80914,7000401.1
3/19/21,85.1,86.7,85.1,86.5,124,91288,7834779
3/18/21,86.8,86.8,85,85.8,168,453918,38657653.3
3/17/21,87.4,87.5,85.1,86,141,94193,8145432.5
3/16/21,87.7,87.9,86.3,87.2,92,51020,4444584.8
3/15/21,87.5,90,87,87.7,122,245291,21982302.6
3/12/21,86,88,86,86.9,106,254266,22178171.2
3/10/21,88.9,88.9,85.7,86.1,187,150700,13029653.1
3/9/21,87,89.9,87,88.1,180,102705,9063027.7
3/8/21,85,87,84.8,86.2,280,515719,44049828.5
3/5/21,85,85.5,83,84.9,298,354402,29936880.7
3/4/21,86,86.2,84.2,84.5,277,1424863,120574988.8
3/3/21,87,87,85.4,85.8,282,211342,18174474.9
3/2/21,88.3,88.3,86.5,86.8,246,133727,11647749.4
3/1/21,88.8,90.5,88,88.3,277,559179,49718825.6
2/25/21,89,91,87.7,88.8,471,835848,74383240.1
2/24/21,86,86,84.6,85,395,4249491,361281574
2/23/21,88.5,88.5,85,86,244,1916559,167609898.4
2/22/21,91,91,88.1,89,203,1204403,108379244.3
2/19/21,88.2,91,88.2,90,209,908287,81403538.2
2/18/21,88.9,89,87.5,88.2,175,266980,23516412.8
2/17/21,87.5,89.8,86,88.2,242,1392631,122128446.3
2/16/21,90.5,91,86.9,87.7,271,691231,61885665.4
2/15/21,88,91,88,90.3,397,1277173,115057487
2/12/21,86.4,89,86.4,88.1,394,485583,42651986
2/11/21,86.1,87,80,85.8,546,605707,51051736.4
2/10/21,88.3,88.3,86.5,87.5,350,521895,45647848.7
2/9/21,90,90,85.9,87.8,478,363744,31770962.8
2/8/21,94.8,94.8,89.5,90,406,903390,83221017.7
2/5/21,94,95,92,92.7,312,253520,23518416.3
2/3/21,89,94,89,93,533,605039,55689915.7
2/2/21,95.8,95.9,86,89.9,742,1308272,119233608.1
2/1/21,100,100,95.9,96.3,698,1050666,102153074
1/29/21,103.5,105,99,99.7,907,3056879,308797116.6
1/27/21,101.25,101.5,99,99.8,608,1281218,127939106.7
1/26/21,103,103.5,100,100.5,774,3747035,377685275.3
1/25/21,99.8,103,99.5,100.75,971,3086446,312419534.7
1/22/21,94.5,99.7,94.5,99.2,987,5118896,495331232.6
1/21/21,96,96,92.5,93.7,879,1220516,114301665.6
1/20/21,97,99.9,92,96.7,1414,1946620,188858811.3
1/19/21,89,97,89,96.2,2054,6760848,624052894.3
1/18/21,85,90,85,88.7,1229,2449235,216888589.7
1/15/21,82,85.1,81.7,84.3,633,3183752,265412943.9
1/13/21,81.8,82.5,81.5,82,314,548770,44983909.7
1/12/21,82.1,82.6,81,82,303,870029,71296019.3
1/11/21,82.4,82.6,82,82.3,275,1102559,90474707.9
1/8/21,82.7,82.8,81.9,82.4,258,893866,73343877
1/7/21,82.9,83,81.9,82.7,285,817620,67692195.4
1/6/21,83,83.2,82,83,319,1025583,84984643.7
1/5/21,83.5,83.9,83,83.2,358,644803,53819650.1
1/4/21,81,83.6,81,83.3,481,1236817,102745513.1
12/31/20,80.6,81.5,80.4,80.9,253,616275,49856432.7
12/30/20,80.1,80.8,80.1,80.5,164,278683,22421928
12/28/20,79.3,80.8,79.3,80.1,184,181827,14555082.4
12/24/20,79,79.4,78.6,79.1,150,152780,12078869.9
12/23/20,79.5,79.5,78.9,79,297,1019197,80554269.1
12/22/20,79,80,79,79.5,173,118889,9450174.1
12/21/20,80,80.6,79.2,79.4,225,458801,36540774.4
12/18/20,80.5,80.7,79.9,80,276,1895728,151718385.1
12/17/20,80.8,81.2,80.1,80.5,177,354605,28592506.6
12/16/20,81,81.8,80.7,81,185,254376,20690211.6
12/15/20,82,82.4,80.8,81,276,252390,20546736.7
12/14/20,82,83,81.9,82.1,197,169724,13957222.4
12/11/20,83,83.1,82.2,83,241,299921,24829137.3
12/10/20,83.9,83.9,81.9,82.9,256,201164,16660972.1
12/9/20,84.8,85,82.1,83.2,678,819681,69030788.6
