Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,61.5,63.2,61.2,62.9,246,243993,15308054.2
6/2/21,60.1,62,59.6,61.5,156,300903,18239138.1
6/1/21,59.2,60,59,59.8,85,95202,5682846.8
5/31/21,58,59.5,57.5,59,45,56463,3337371.8
5/28/21,58.8,59.8,58.6,58.9,57,14805,873884.9
5/25/21,57.8,59.5,57.8,59,52,115993,6824323.1
5/24/21,57,58,57,57,45,43404,2505612.7
5/21/21,57.5,57.5,56.5,57,76,35159,1995336.7
5/20/21,57.6,58.8,56.7,57,140,100991,5757862.4
5/19/21,59,59.5,57.5,57.5,82,107120,6169859
5/18/21,58,59,57.9,58.8,27,5679,332492
5/17/21,58,59,57.3,58,88,90766,5261829.6
5/13/21,57.5,58,56.7,57.7,70,35892,2057145.1
5/12/21,57.6,57.9,57.1,57.5,65,28025,1609985.6
5/11/21,57.7,58,57.3,57.9,43,55237,3194958.5
5/10/21,58.6,58.6,57.1,57.6,60,19958,1149670.1
5/7/21,59,59,58,58.1,96,66477,3869644.9
5/6/21,59.4,59.7,58.5,59,55,51087,3018243.6
5/5/21,57,59.9,57,58.5,87,73317,4289430.9
5/4/21,57,57,56.6,56.8,42,12967,735887.8
5/3/21,57.8,57.8,56.3,57,71,13173,749185.7
4/30/21,57,57.9,57,57.4,18,1135,65128.8
4/29/21,57.9,58,56.6,57,55,17912,1024069.1
4/28/21,56.3,57.9,56.3,57.4,63,19680,1124826.2
4/27/21,57.1,58.9,56.4,56.7,139,99259,5636555.3
4/23/21,58,59.8,57.1,57.7,80,43962,2537322.3
4/22/21,59.9,60,58,58,154,199569,11632204.3
4/21/21,59.9,60,59,59.8,74,662645,39657112
4/20/21,60.3,60.9,59,59.3,145,734666,43972072.6
4/19/21,60.5,60.5,59.8,60,63,22491,1353504.6
4/16/21,60.2,60.9,59.8,60.6,68,45079,2709127.6
4/15/21,61,61,59.8,60.2,77,55325,3327132.2
4/12/21,60.3,61.3,59.5,60,63,45384,2719798.9
4/9/21,59.9,60,59.5,59.9,114,58212,3479952.6
4/8/21,59.9,60,59.5,59.9,56,34196,2046273.8
4/7/21,59.9,59.9,59,59.5,89,44903,2664185.4
4/6/21,59.3,59.6,59.2,59.4,72,18728,1111786.5
4/5/21,59.8,60.1,59.4,59.6,41,5020,299643.1
4/1/21,59.8,59.8,59.2,59.3,31,7366,437986
3/31/21,59.1,59.9,59.1,59.6,32,117129,6990319.8
3/30/21,59.5,59.5,59,59.1,37,15096,892271.1
3/29/21,59.7,60,59,59.1,96,31530,1877147.5
3/26/21,59.8,59.9,59,59,52,15987,944868.2
3/25/21,60,60.3,59.6,59.6,34,5753,343633.1
3/24/21,59.8,60.2,59,60,82,51976,3110394.6
3/23/21,59,60,57.5,59.5,66,46709,2754237.8
3/22/21,58,59,57.7,58,90,81880,4753134.9
3/19/21,58.6,58.6,57.5,57.7,98,47189,2726300.6
3/18/21,60.9,60.9,57.5,59.6,122,52290,3039209.3
3/17/21,60,61.4,59,59.6,67,96635,5767832.6
3/16/21,60,60,58.5,60,146,54648,3245642.7
3/15/21,61.8,61.8,59.6,60,144,81842,4918891.6
3/12/21,62,62,60.6,61,81,26340,1613549
3/10/21,60.9,63.5,60.3,60.6,91,79914,4851420.5
3/9/21,62.9,63.7,60,60.7,102,48020,2943907.5
3/8/21,60.9,63,60,62.3,147,73983,4503867.7
3/5/21,60,60.9,59.1,60.1,64,47862,2852741.4
3/4/21,61,62.2,58.7,59.3,154,111637,6615685.7
3/3/21,62.9,62.9,60,60.3,166,131129,7923560.2
3/2/21,63.4,63.4,61.8,62.1,82,213648,13454129.1
3/1/21,62.7,63.5,62.5,62.7,73,6837,430276.4
2/25/21,62,62.9,62,62.7,99,21818,1367709.9
2/24/21,62,62.8,61,61.9,179,103503,6334723.3
2/23/21,63.6,63.6,61,61.6,239,195705,12096851.3
2/22/21,63,65.6,63,63.4,157,89974,5728214.5
2/19/21,65,65.7,63.8,64.6,133,60442,3880957.5
2/18/21,65,66,64,64.7,258,107500,6999582.5
2/17/21,64.5,64.5,62.5,63.1,118,67038,4225954.1
2/16/21,65.4,66,63,63.2,169,96990,6181284.4
2/15/21,67.5,67.5,65,65.4,136,55849,3688331.3
2/12/21,65.1,67,64,65.8,192,133824,8788569.1
2/11/21,65.9,65.9,61,64.9,208,130531,8253420.5
2/10/21,65.7,66.2,63.5,64,141,97543,6340322.6
2/9/21,66,66.1,63,64.4,214,130016,8328201.5
2/8/21,69.8,69.8,65,65.2,310,257551,17102636
2/5/21,68.9,68.9,67,67.9,214,140488,9551735.8
2/3/21,68,70,66.1,68.9,237,159210,10898803.5
2/2/21,71.8,72.4,65.5,66,347,221643,14883746.4
2/1/21,74.5,76,70.1,71.9,266,187845,13592153.2
1/29/21,77,78,73.1,74.1,318,765518,58437401.9
1/27/21,78.4,78.4,73.8,74.5,415,407261,30393594.7
1/26/21,80,80,75.5,77.6,608,988862,76784988.2
1/25/21,74.5,80.4,74.5,79.7,809,2529046,197539186.3
