Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,53.2,54.1,52.8,53.6,709,1341446,71955573.8
6/2/21,52.4,53.4,52,53,932,1464716,76919503.6
6/1/21,51.5,52.4,50.7,51.9,2333,4239842,218018015
5/31/21,53.2,53.3,51.4,51.8,2827,4312675,225218946.1
5/28/21,53.3,53.7,52.7,52.9,1214,1034677,54796418
5/25/21,53,54,52.9,53,495,398213,21151157.2
5/24/21,52.9,53.5,51.6,52.8,1120,1319380,69382053.5
5/21/21,55,55,52,52.9,2018,3277791,173431331.9
5/20/21,56.1,56.1,54,54.5,1141,1452958,79563562.1
5/19/21,57.9,58.5,55.5,56,1574,3683132,208846978.8
5/18/21,57,57.2,55.9,56.9,743,2288306,130071831.2
5/17/21,56,57.5,56,56.9,1106,2928011,166482945.5
5/13/21,54.2,55.8,54.1,55.6,455,1181789,65195428.9
5/12/21,55.3,55.4,54.3,54.6,437,585799,32193294.7
5/11/21,55,55.5,54.4,54.7,308,437219,23998572.5
5/10/21,56.7,56.7,54.3,54.5,842,1233786,67979707.1
5/7/21,55,57,55,56.6,833,1723569,96770117.4
5/6/21,55,55.7,54.6,55,479,846870,46703768.9
5/5/21,53.2,54.7,53.2,54,353,567684,30681464.8
5/4/21,57.3,57.3,52.9,53.2,902,1482549,80671331.9
5/3/21,55.6,55.9,53.9,54.4,681,1219990,66854502.2
4/30/21,54.5,56,54.5,55.5,328,445820,24672108
4/29/21,56.9,57.2,54.1,55.3,916,1892789,105027217.6
4/28/21,52.4,56.7,52.4,56.1,1507,3121964,170998083.1
4/27/21,53.5,54.9,52.2,52.4,1581,2957152,157252048.8
4/23/21,55,56.2,53.3,54.6,1571,3124076,170901918.1
4/22/21,57.8,58.1,55.1,56.5,1441,3446445,194874059.5
4/21/21,55,58.3,54.1,57.7,1798,3974434,224646382.9
4/20/21,59.9,59.9,54.7,55.5,3103,6866073,388747413.9
4/19/21,61,61,58.9,59.7,1285,3127295,187375979.7
4/16/21,61,61,57.1,60.3,2220,4487684,266483027.7
4/15/21,59.5,61.9,59.5,60.8,2433,6184861,375343028.7
4/12/21,56.3,59.1,56.3,58.7,1936,5519632,321435376.5
4/9/21,57.2,58.5,55.9,56.2,1915,4310701,246035390.5
4/8/21,55.5,57.3,54.4,56.8,1787,5091544,285490645.8
4/7/21,55,58.6,53.8,55.2,3719,9398692,528914070.5
4/6/21,50,54.4,49.5,53.4,2132,5031127,262595453.2
4/5/21,47.5,50.5,47.5,49.3,1682,4043458,198595258.3
4/1/21,46.6,48.1,46,47.1,686,1851041,88014579
3/31/21,46.8,46.8,46,46.4,407,916090,42408761.8
3/30/21,47,47.2,46,46.3,349,566970,26403750.9
3/29/21,46.5,47.4,45.7,46.9,674,2272168,105899862.1
3/26/21,45.4,46.3,44.6,46,488,1619784,75383276.7
3/25/21,47,48.2,44.6,45.6,1181,2018267,94671505.5
3/24/21,44.4,47,43.9,46.7,1406,2931018,135230463.9
3/23/21,44.9,45.8,43.4,45,900,934587,41893103.7
3/22/21,42.5,44.8,42.5,44.1,1126,1479549,64985641.8
3/19/21,43.2,44.3,41,42.3,1291,2631257,110838023.2
3/18/21,46,46,43.6,43.9,1177,1712381,75714538.6
3/17/21,47.8,48,45.9,46.2,710,991985,46061804.6
3/16/21,49,49.8,45.6,48.3,1301,1763393,83592828.7
3/15/21,52,52.7,48.4,48.7,1218,1920561,95635962.3
3/12/21,50,52,50,51,1137,2851006,145187681.3
3/10/21,50,51.6,48,49.5,1048,1325567,65840711.9
3/9/21,52,55.5,49,50.2,4167,8311895,435571329.8
3/8/21,45,51.4,44,50.1,3205,6620007,315729394.9
3/5/21,41.5,44.5,39,43.3,1682,2848287,118865693.1
3/4/21,44,46,39.5,40.2,1682,3060222,127064364.1
3/3/21,46.5,46.5,40.5,43.2,1719,2931028,127005399.6
3/2/21,49.9,49.9,45.9,46.8,1606,2119333,100363345.4
3/1/21,50.3,51.9,48.7,49,1216,1753048,87323516.8
2/25/21,50,51.8,47.9,50.3,1296,2765735,137687734.1
2/24/21,49.2,51.8,48.6,50.1,1537,3628788,183808224.8
2/23/21,55.2,55.2,47.4,49.2,3024,5307407,268380998.5
2/22/21,58,59.5,55.1,55.8,1668,2728937,155451287.1
2/19/21,63.2,63.4,59,60.1,1425,2010982,122364268.7
2/18/21,63,64,61.3,62.9,1320,2448936,153692852.5
2/17/21,60.6,62.9,55.7,61.2,1912,3538232,211564237.1
2/16/21,67.5,69.1,55.7,60.3,3259,6076993,382922389.9
2/10/21,700,710,645,665,2180,839924,573438417.5
2/9/21,749,749.75,690,718.5,1557,490578,349757359.3
2/8/21,720,760,720,733.75,2048,566831,420084391.8
2/5/21,690,709,665,706.75,1390,482209,333921322.8
2/3/21,625,700,613.25,664.5,1614,552653,362910466.5
2/2/21,720,738.25,550,613.25,1773,616680,414110415.3
2/1/21,715,720,685,689,1137,392041,273986762
1/29/21,760,760,680,703,1693,504758,360238346.3
1/27/21,735,765,715,742.25,1611,597971,443770786.3
1/26/21,700,750,700,728,3031,1100731,802278211
1/25/21,570,699.75,565.25,686.75,3430,1406185,887209649
1/22/21,589,605,551,561.25,2880,1024449,589300045.5
1/21/21,475,625,475,576,4621,3533330,1939151210
1/20/21,415,450,402,441,1441,1069400,460087257.8
1/19/21,435,440,410.25,416.5,1036,417423,176860068
1/18/21,415,445,411,428.75,1355,1049588,450728376
1/15/21,384.5,408,384,401.25,1172,1834616,726183568.5
1/13/21,372,384.5,372,381.5,812,743161,282566943.3
1/12/21,346,372,346,365.75,887,1100703,398755340.8
1/11/21,343,348,340,345.25,405,560299,193169391.3
1/8/21,340,345,339,340,250,80989,27586699.5
1/7/21,347,347,339.6,340.6,533,386134,131829771.1
1/6/21,346.5,350,340.7,345.3,327,171672,59377695.4
1/5/21,343,347,342.7,345.8,377,246617,85171747.4
