Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,20,20.5,19.8,20,67,528666,10579778.6
6/2/21,19.9,20,19.9,20,33,70681,1413267.2
6/1/21,20,20,19.8,19.9,28,41966,835170.8
5/31/21,19.9,20,19.8,19.9,45,137834,2743001.4
5/28/21,19.9,20,19.9,19.9,20,24150,481290
5/25/21,19.9,20,19.8,20,14,21181,421506.8
5/24/21,19.9,19.9,19.5,19.9,14,9361,185668.7
5/21/21,19.6,19.9,19.3,19.8,38,15164,295729.4
5/20/21,19.9,19.9,19.5,19.8,24,4881,96199.6
5/19/21,20,20,19.9,19.9,17,3751,74971.2
5/18/21,19.9,20,19.6,20,55,1287292,25726987.5
5/17/21,19.9,19.9,19.6,19.9,18,6560,129588.4
5/13/21,19.4,20,19.4,19.4,8,3115,60464.2
5/12/21,20,20,19,19.5,77,560713,10671117.8
5/11/21,19.9,19.9,19.5,19.6,58,67009,1321861.7
5/10/21,20.3,20.3,19.7,19.8,39,29910,597393.5
5/7/21,20.3,20.5,20.2,20.4,22,20092,408458
5/6/21,20,20.5,20,20.3,17,51004,1033290.8
5/5/21,19.8,19.9,19.8,19.9,16,17902,356249.6
5/4/21,20,20.5,19.8,20,12,44067,888240
5/3/21,19.6,20.7,19.6,20.5,52,148260,2991673.5
4/30/21,19.9,19.9,19.7,19.7,26,18128,357239.7
4/29/21,19.9,19.9,19.7,19.7,32,23786,469784.8
4/28/21,19.7,20,19.7,19.7,29,44737,884410.4
4/27/21,19.9,20,19.7,19.8,37,41024,817730.3
4/23/21,20,20.5,19.9,20,24,11441,228874.7
4/22/21,20.5,20.6,20,20.1,31,8918,180107.3
4/21/21,20.7,20.7,20.5,20.5,10,433,8888.7
4/20/21,20.6,20.7,20.1,20.1,50,185202,3785492.5
4/19/21,21,21,20.6,20.7,25,9085,188660.5
4/16/21,21,21,20.5,20.8,40,79393,1637489
4/15/21,20.9,21.2,20.3,20.6,41,28254,584198.3
4/12/21,20.1,21,20.1,20.9,21,17758,367931
4/9/21,20.1,20.5,20,20.2,34,43038,872528.6
4/8/21,20.4,20.4,20.1,20.2,36,54013,1091009.6
4/7/21,20.8,20.8,20.2,20.2,25,27435,554336.2
4/6/21,20.2,20.8,19.9,20.5,41,185653,3795336.1
4/5/21,20.1,20.2,20,20.2,11,12479,250824
4/1/21,19.8,20.3,19.6,19.7,25,10021,197657.1
3/31/21,19.9,20,19.8,19.9,30,64283,1281495.1
3/30/21,19.9,19.9,19.7,19.9,22,10798,214308.6
3/29/21,20,20,19.8,19.8,9,3315,65672.2
3/26/21,19.9,20,19.8,19.9,15,3252,64595
3/25/21,20,20,19.7,19.8,28,21121,420488.2
3/24/21,19.5,20,19.5,20,28,52574,1048133
3/23/21,20,20,19.5,19.8,28,15499,304417
3/22/21,19.7,19.9,19.5,19.9,25,10544,207075.3
3/19/21,19.5,19.9,19.5,19.8,20,36827,728203
3/18/21,19.9,19.9,19.5,19.5,54,132664,2587589.3
3/17/21,19.9,20,19.8,19.8,16,4245,84284.1
3/16/21,20.4,20.4,19.5,19.9,51,73584,1442187.7
3/15/21,20.9,20.9,20,20,35,19822,396745
3/12/21,21,21,20,20.4,39,127725,2606134.9
3/10/21,21.4,21.4,20.4,20.4,6,1704,35395.3
3/9/21,21.2,21.3,20.8,20.8,25,21271,445767.8
3/8/21,20,21.2,20,21,71,404871,8433963.1
3/5/21,19.6,20.1,19.6,19.9,43,48695,966932.1
3/4/21,20,20,19.5,19.6,61,37507,734640.7
3/3/21,20.1,20.8,19.9,19.9,49,22704,454136.2
3/2/21,21.2,21.2,20,20,48,33663,680621.7
3/1/21,21,21.3,20,20.9,55,36519,762364.5
2/25/21,20.7,21.1,20.7,21.1,28,42514,890606.3
2/24/21,20,21.4,20,20.7,27,9131,191620.4
2/23/21,20.6,20.8,20,20,93,126650,2540005.1
2/22/21,21.1,21.1,20.5,20.7,33,22669,472283
2/19/21,20.8,21.3,20.2,21.2,58,215073,4541722.6
2/18/21,21,21,20,20.5,28,34774,726834.7
2/17/21,20.3,20.5,19.8,20,70,83091,1661173.1
2/16/21,20.9,21,20,20.1,77,56353,1150302.2
2/15/21,21.8,21.8,20.8,20.9,84,84376,1775627.2
2/12/21,21.8,21.8,20.8,21.2,79,143716,3045329.6
2/11/21,21.4,21.7,19.2,19.7,159,153900,3037310.1
2/10/21,21,21.4,19.9,20,167,498446,10026865.8
2/9/21,21,21,20.2,20.4,100,94566,1928376.8
2/8/21,21,21.5,20.5,20.5,110,80549,1662984.2
2/5/21,21.5,22,20.9,20.9,144,218335,4608507.7
2/3/21,21.1,22,20.9,21.2,194,1193503,25247481.1
2/2/21,22.5,22.5,21,21,151,375306,8000793.2
2/1/21,23,23.5,22.5,22.6,123,218884,4974160.1
1/29/21,23.3,24,23,23,86,169327,3918071.2
1/27/21,23.5,24,23.1,23.1,101,276310,6445551.6
1/26/21,24.3,24.5,23.5,23.7,136,497368,11908428
