Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,45.1,46.3,44.9,46,570,2096268,95978645.1
6/2/21,45.5,45.9,44.8,45,514,806637,36317085.8
6/1/21,45.9,46.5,44.9,45.2,697,1396671,63000288.2
5/31/21,46.8,47,45.1,45.8,650,1638492,75641275
5/28/21,46,46.8,45.4,46.5,558,1687833,78113115.5
5/25/21,45,46.1,44.8,45.9,530,1596816,72497953.9
5/24/21,44.5,44.8,43.8,44.4,941,1588673,70382860.7
5/21/21,46.2,46.2,43.9,44.9,940,2318543,103242245.3
5/20/21,46.8,46.9,45.1,45.6,366,515913,23633141.5
5/19/21,47,47.4,46,46.8,563,4957818,232622942.3
5/18/21,47.3,47.7,46.5,47,999,4528237,213126610.6
5/17/21,44.7,47.2,44.7,47,1280,5316060,248023099.3
5/13/21,44,44.8,44,44.5,408,792785,35231233.2
5/12/21,44.5,45.2,44.1,44.2,636,1959186,87253501.3
5/11/21,44.2,45,44.1,44.2,641,911532,40351570.1
5/10/21,45.4,45.5,44.1,44.2,1089,1670264,74506805.1
5/7/21,45.5,46,45.2,45.6,754,1173055,53445454.5
5/6/21,45.5,46.4,45,45.5,825,1732934,79287287.6
5/5/21,44.3,45.8,44.1,45.4,613,1190486,53783089.4
5/4/21,45,45.9,44,44.3,1255,2453583,110055954.1
5/3/21,46.9,47.5,44.8,45.5,1999,3706024,170390214.9
4/30/21,46,47.6,45.5,46.7,1460,4400002,205289540.8
4/29/21,47.8,48.7,46,47.8,1326,5026064,238735837
4/28/21,43.1,48.1,43.1,47.6,1392,3129015,145773429.7
4/27/21,45.5,45.5,43.8,44,1332,3328493,147268489.5
4/23/21,47,47.4,45.6,46,1198,2835298,131440520.3
4/22/21,49.5,49.5,47.4,47.8,831,1962582,94438279.4
4/21/21,47,50,47,49.6,1080,3115555,152027274.6
4/20/21,51.3,51.3,47,48.1,2401,9769680,479865579.4
4/19/21,52.3,52.8,50.9,51.2,978,2520745,129564586.4
4/16/21,52.7,52.8,50,52.2,1545,5765316,296289894.5
4/15/21,52.8,53.6,52.4,52.6,1482,4446465,235290656.4
4/12/21,49.7,52.5,49.5,52.3,1813,7195783,371564720.2
4/9/21,49.2,50.5,49,49.7,1408,4877859,242872215
4/8/21,47.7,49.6,47,49.2,1821,7375524,361222540.9
4/7/21,48,49,47,47.4,1557,5540796,265601903.6
4/6/21,46,47.9,45.6,47.1,1169,4302055,201137233.7
4/5/21,46,47.1,45.5,46.2,1004,2953359,137106041.9
4/1/21,45.1,46.3,44.7,46,737,2702838,123251275
3/31/21,44.9,45.1,44,44.7,428,1835398,82171074.5
3/30/21,45.8,45.8,44.6,44.8,436,895934,40272509.8
3/29/21,45,46,44.2,45.3,757,2906345,131230112.4
3/26/21,45,45.4,43.1,44.7,612,831179,37041583.6
3/25/21,47,47,43.6,44.3,1018,2892602,131806996.8
3/24/21,42.6,46.3,42.1,46,1311,4490407,202198989.8
3/23/21,43.2,44,42,43.5,689,970463,41888155.6
3/22/21,42.5,43.6,42,43.3,914,1568943,67751928.9
3/19/21,42.1,43.3,40.9,41.7,1217,3566424,148656057
3/18/21,45,45,42,42.7,1407,2630346,113929062
3/17/21,46.3,46.3,44.4,44.7,870,3390050,152580460.3
3/16/21,46.5,46.8,44.5,46,1299,3583041,162802339.3
3/15/21,48,48.5,46.3,46.6,844,1594060,75124464.5
3/12/21,47.5,48.5,46.3,47.6,1209,3128515,149327252.3
3/10/21,46.8,47.5,45.5,46.1,594,1051151,48719543.5
3/9/21,49.5,49.9,46.1,46.5,2037,7036883,337280809.9
3/8/21,45.1,49,44.5,48.4,2254,8458249,395873974.8
3/5/21,44.3,45,41,44.3,1273,4282193,185438259.6
3/4/21,45.5,46.7,42.8,43.1,1600,6558051,290373301
3/3/21,46,46.4,42.8,44.7,1610,4445202,197027852.5
3/2/21,47.3,47.5,45.3,46,1002,3133476,144404040.4
3/1/21,48,48.6,46.5,47.1,1968,6740893,320553970.7
2/25/21,41.7,47.9,41,46.5,2710,9988516,449581930.7
2/24/21,41,43,39.9,41,1619,7815700,322480294.5
2/23/21,44.1,44.5,39.9,40.5,2464,8810606,364493874.3
2/22/21,45,47,44,44.3,1790,4889223,219174203.7
2/19/21,48.5,48.9,46.8,47.1,731,1284428,60899531.8
2/18/21,49,49.5,47,47.9,944,2959596,142010527.1
2/17/21,46,48,42.5,47,1576,4054743,186420798.7
2/16/21,50,50,45,45.7,1972,6515464,303577374.2
2/15/21,52.9,53,49,49.4,1909,8010328,402998400.9
2/12/21,50,52.3,49,51.8,2295,9852563,500960933.1
2/11/21,48.8,50,38.4,47.2,2960,12519238,563967413.2
2/10/21,51.7,52.5,48.6,49.2,1523,6750149,338412453.2
2/9/21,53.5,53.5,50.5,51.7,1676,7355287,379354844.9
2/8/21,55.1,56.4,52.2,53.5,2099,8117910,443428676.6
2/5/21,52,54.5,51.1,54.3,3211,16338149,871995437.1
2/3/21,49,51.5,46,49.9,2668,12140181,599650008.2
2/2/21,51.3,53,43,46.3,2388,9924709,480442926.3
2/1/21,53,54.6,50.9,51.3,2635,9893475,515521483.6
1/29/21,56.5,57.1,42,50.5,4081,18776592,961656368.6
1/27/21,60.9,60.9,54.5,55.9,6673,30468900,1732042542
1/26/21,64,64.6,60.1,61,4029,22651088,1401198559
1/25/21,57.5,62.8,57.5,61.9,5147,30236711,1821841019
1/22/21,51.8,56.4,51.4,55.1,3482,20554439,1120579163
1/21/21,51,51.9,49,50.7,1923,7203378,364362866
1/20/21,50,53,50,51.3,2553,12982354,666618399.5
1/19/21,54,54.5,48.9,50,3915,19353378,991081405.2
1/18/21,55.1,58.9,52.8,53.8,5294,29144910,1606439710
1/15/21,48,54,48,53.4,6383,38061882,1970724897
1/13/21,44,48,44,47,5245,33928291,1565397300
1/12/21,39.9,42.9,38.9,41.3,3937,26364564,1064956890
1/11/21,35.3,39.9,35.3,38.6,5809,39061510,1479865107
1/8/21,32.1,34.9,31.5,34.3,3207,27542375,926737248.3
1/7/21,31.4,31.6,30.4,31,1703,12605970,389910193.1
1/6/21,32,32.4,31.1,31.5,1747,11900352,377646587.6
1/5/21,31.9,32.6,31.8,32,2391,19748621,634757362.9
1/4/21,29.3,31.5,29.2,30.9,2120,19074973,571952781
12/31/20,28.7,29.3,28.7,29,1376,8926217,258907541.5
12/30/20,27.7,28.6,27.7,28.5,1848,12476195,351341826.3
12/28/20,27.3,27.4,27,27.3,482,2992689,81499999.8
12/24/20,27.2,27.4,27,27.2,386,1452963,39498949.8
12/23/20,27.4,27.5,26.9,27,624,3532439,95679289.9
12/22/20,27.6,28,27,27.5,1551,13351324,367284140.2
12/21/20,25.9,27.3,25.9,27,2510,20543468,550626070.8
12/18/20,25,25.8,25,25.6,486,3145519,80078636.8
12/17/20,25.2,25.5,24.9,25.1,680,4732690,118686743.7
12/16/20,25.3,25.5,25,25.1,744,6106428,153533584.3
12/15/20,25.6,25.7,25.1,25.4,372,2078069,52671827.2
12/14/20,26,26,25.4,25.5,505,2830039,72630999.8
12/11/20,26.5,26.5,25,26,439,1830904,47355517.9
12/10/20,25,26.5,25,26.2,1366,8635422,224516261.6
12/9/20,25.5,25.7,24.9,25,1012,6979716,175210608.5
12/8/20,25,26,24.8,25.4,1084,5660803,142674443.1
12/7/20,26,26,24.9,25.2,1494,7909767,199162589
12/4/20,26.2,26.3,25.5,25.7,1125,5326298,137652869
12/3/20,26.5,26.5,26.1,26.2,776,5222685,136655416
12/2/20,26.9,27,26.2,26.4,1155,6648592,177095899.5
12/1/20,27.3,27.6,26.7,26.8,848,5034387,136498182.5
11/30/20,27,27.6,26.5,27.1,1848,12099235,328159794.1
11/27/20,25,26.7,24.5,26.1,2699,15473208,394040765.6
11/26/20,25.5,25.6,24.9,25.2,1113,6934437,173869755
11/25/20,25.6,25.7,24.8,25.4,1340,6627839,167088837.1
11/24/20,26.4,26.5,25.4,25.6,1151,6571186,168764459.7
11/23/20,26.5,26.8,26.4,26.5,651,4082458,108133671.9
11/20/20,26.3,26.7,25.9,26.4,707,5852748,154541241.8
11/19/20,27,27,26,26.1,2010,11810146,311092227.9
11/18/20,27.9,28.3,26.3,26.9,1885,20208237,547559605.3
11/17/20,26.5,27.7,26.1,27.5,2718,17669502,480584800.6
11/16/20,25.9,26.4,25.3,26,1024,6175971,159625671.1
11/13/20,25.8,26.1,25,25.7,1076,8349849,214463130.1
11/12/20,25.5,26.3,24.8,25.7,1943,11045612,283032658.7
11/11/20,25.3,26.4,23.8,25.5,3487,25444295,642460167.5
11/10/20,28.5,28.9,25.5,26,4936,37564418,1004327408
11/9/20,29.5,30,27.4,28.2,5509,57151708,1630799219
11/6/20,25.2,25.4,24.5,24.7,2378,23767558,593415051
11/5/20,24.5,25.1,24.1,24.9,2671,22673436,559605851.2
11/4/20,23.5,24.4,23.1,24,3839,38369729,908473785
11/3/20,19.5,23,19.5,22.3,4123,41775269,878673642.8
11/2/20,18,19.2,17.9,18.9,1584,15365236,287247514.3
10/29/20,17.2,18.4,17.1,18.1,960,9083852,162604485.4
10/28/20,17.6,18,16.7,17,887,7459688,128055862.4
10/27/20,17.2,17.9,17.2,17.7,801,7808437,137580807.9
10/26/20,16.9,17.8,16.5,17.3,933,9476719,163904644.8
10/23/20,18.5,18.9,17.7,17.8,1273,17850703,324031353.6
10/22/20,16.7,18.1,16.6,18,2007,25345629,445501546.6
10/21/20,19,19,16.7,17.2,2847,27355470,488189704.9
10/20/20,19.5,19.5,18.8,19.2,952,9950092,190547209.9
10/19/20,19.5,19.6,19.1,19.3,1528,22905492,443647242.2
10/16/20,18.3,19,18,18.7,2492,30258485,560767964.3
10/15/20,16.6,18.2,16.2,17.9,2590,36330942,633082406.6
10/14/20,17.6,17.7,16.2,16.6,1952,25796484,434574239.1
10/13/20,17.5,18.4,16.7,17.4,3918,48979231,864218770.9
10/12/20,15,17.2,15,16.7,3792,52445640,840694876.3
10/9/20,13.8,15.1,13.8,14.6,3164,57435555,839886555.8
10/8/20,12.4,13.4,12.4,13.3,2206,41850958,541427454.9
10/7/20,11.7,12.6,11.6,12.1,1231,19808167,242035113.7
10/6/20,11.5,12.9,11,12,2519,40921737,499808330
10/5/20,12.5,13,11.5,11.9,2954,53301175,651719740.6
10/2/20,11.8,13.9,11.8,13.5,3417,45987618,592956540.3
9/30/20,10.8,11.6,10.8,11.5,1434,28716234,323167425.2
9/29/20,10.9,11,10.6,10.9,892,14838774,161330443.3
9/28/20,11.1,11.3,10.8,11,1074,19921357,220706737.2
9/25/20,10.8,11.4,10.7,11.2,1708,22095494,243810698.4
9/24/20,9.8,10.7,9.8,10.6,1696,38939760,402000848.6
9/23/20,9.7,9.9,9.5,9.7,414,4644461,44953959.3
9/22/20,9.9,9.9,9.4,9.6,819,11763987,112607847.5
9/21/20,10,10.2,9.5,9.8,902,13271657,130912194.6
9/18/20,9,10.1,9,9.8,1808,34092049,330749750.4
9/17/20,8.8,9.2,8.5,8.9,1180,14783088,130408555.2
9/16/20,10,10.3,8.6,9,3320,49060612,465434931.5
9/15/20,8.1,10,8,9.3,3056,45224875,398215483.3
9/14/20,7,8,7,7.6,904,17860134,132299439.8
9/11/20,6.9,7,6.8,6.9,314,3781919,26084181
9/10/20,7,7.3,6.8,7,1110,21886003,154923997.7
9/9/20,6.3,7,6.3,6.9,1085,21285864,142114856.3
9/8/20,6.3,6.4,6.2,6.3,264,9688662,61045779.6
9/7/20,6.3,6.4,6.1,6.2,473,10547955,66175116.6
9/4/20,6,6.3,5.8,6.1,737,11005711,66222037.4
9/3/20,5.6,6,5.6,5.9,810,19446641,113630128.4
9/2/20,5.2,5.7,5.2,5.5,405,8082986,43804924.1
8/31/20,5.2,5.3,5.2,5.2,71,598186,3110718.6
8/28/20,5.2,5.3,5.1,5.3,183,4527591,23664008
8/27/20,5.2,5.2,5,5.2,129,2572329,13164316.7
8/26/20,5,5.2,4.9,5.1,309,7770611,38902953.9
8/25/20,5,5.1,5,5,216,2857471,14363199.5
8/24/20,5.2,5.2,5,5.1,246,3415579,17407413.7
8/21/20,5.3,5.3,5.1,5.2,177,2510315,13084654
8/20/20,5.4,5.4,5.1,5.3,379,13266218,70022384.9
8/19/20,5.1,5.5,5.1,5.4,865,18778788,100084344.3
