Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,80.8,81.5,80,81,107,300527,24241655.1
6/2/21,80.4,81,79.9,80,113,263179,21063510.1
6/1/21,80.5,80.5,80,80.1,80,71987,5768468.5
5/31/21,80.4,80.7,79.9,80,86,126638,10134751.4
5/28/21,81,81,80,80,119,116120,9309797.7
5/25/21,80.9,80.9,80,80.5,33,77842,6294760.8
5/24/21,80,81,79.5,80.3,91,75061,6012120.2
5/21/21,81,81,79.4,80,75,70944,5666638.4
5/20/21,80.5,80.8,79.9,80,85,102667,8218183.5
5/19/21,80,81.4,80,80.6,63,115451,9246922.2
5/18/21,80,80.5,80,80,95,2733176,218658993.9
5/17/21,80,81.7,79.5,80.4,63,101404,8130080
5/13/21,79.9,79.9,79,79.1,77,23252,1841513.7
5/12/21,79.5,79.9,79.5,79.5,41,35725,2848690.6
5/11/21,79.5,81.8,79.4,79.9,51,12358,989724.3
5/10/21,80.3,81,79.6,80,72,102968,8285144.9
5/7/21,79.9,80.5,79,80.2,124,68537,5480704.5
5/6/21,80,80.2,79.3,79.5,46,11827,940639.3
5/5/21,79.5,80,79.5,79.7,53,25316,2021405.2
5/4/21,80.4,80.4,79.6,79.7,45,6952,554683.1
5/3/21,80,80.4,79.9,80,56,37077,2966432.7
4/30/21,80.2,80.5,80.2,80.5,11,29975,2412776
4/29/21,80.5,81,79.9,80.1,68,18852,1510948.7
4/28/21,80,82.3,80,80.9,35,195324,15998024
4/27/21,80.3,82,79,80,124,219584,17955574.6
4/23/21,82,82,80.5,81.9,97,150590,12296556
4/22/21,80.5,83,80.5,82.3,47,270945,22419039.2
4/21/21,82.8,83,80.2,82.2,31,109193,8789819
4/20/21,84.2,84.2,79.2,80.2,191,66578,5450814.8
4/19/21,85.5,85.5,84,84.2,39,11047,933022.5
4/16/21,86,87,85,85,109,412555,35400484.3
4/15/21,86.9,87,86.4,86.6,62,32735,2843537.4
4/12/21,85,86.5,85,86.1,74,87655,7467035.3
4/9/21,84.1,85.5,83,84.8,98,96233,8144536.3
4/8/21,82.8,83,82.5,83,92,644744,53493083.7
4/7/21,83.8,84,82.7,83.3,50,56096,4656430.4
4/6/21,83.5,84.8,82,83.7,76,237603,19530511.2
4/5/21,83,83.5,82.6,82.8,44,16944,1404175.1
4/1/21,83,84,82.6,82.7,17,33184,2753771.7
3/31/21,82,84,81.5,83.4,33,14325,1193813
3/30/21,82,83.9,81.5,82.6,34,35650,2940379
3/29/21,82,82.6,82,82,21,28039,2299524.9
3/26/21,80,83,80,81.6,17,1733,141428.1
3/25/21,82,83,80,80,42,27600,2234895
3/24/21,77,82,77,80.7,66,76974,6180397.3
3/23/21,80,80,78.5,79.9,17,5595,445636.4
3/22/21,77.9,79.8,77.9,78.4,51,19337,1512533.4
3/19/21,79.9,79.9,77.4,77.9,111,213704,16684975.7
3/18/21,80,80.1,79.1,79.9,74,199109,15927301.6
3/17/21,80,80.9,80,80,28,13340,1067328.3
3/16/21,80.1,81.4,80,80,57,59342,4749804
3/15/21,82.5,82.5,80,80,48,28511,2286787.9
3/12/21,82.5,82.5,80,81.1,94,119548,9629066.7
3/10/21,83,83,82,82.3,23,3015,248639
3/9/21,82.6,84.9,82.5,82.7,114,131900,10996351.1
3/8/21,81.3,82.5,80,81.9,114,166018,13552377.9
3/5/21,79,80,77,79.2,130,302511,23832742.8
3/4/21,81.5,81.8,78,78.4,220,247869,19626336.5
3/3/21,82,82,80.2,81.4,150,140275,11378909.7
3/2/21,83.3,83.3,81.6,82,104,242727,19908117.1
3/1/21,83.3,83.3,82,82.6,126,37437,3085944.8
2/25/21,82.2,82.2,80.2,81,111,82985,6699311.1
2/24/21,82,85,80.1,80.4,110,135978,10935815.5
2/23/21,85,85,80.1,80.4,201,284468,23301446.1
2/22/21,87,87.9,84.1,85,130,110301,9396311.5
2/19/21,85.7,87,85,85.6,137,181845,15638870.9
2/18/21,86,88,84.9,85.3,179,523238,44506919.5
2/17/21,88.5,88.5,85,85.5,183,971369,82709899.6
2/16/21,88.5,88.5,85.6,86.2,176,571302,50270771
2/15/21,94,94,87,88.1,226,264510,23681686.3
2/12/21,89,91.2,88.7,89,239,2161430,194459298.2
2/11/21,88,89.8,80,87.2,286,209489,17696680.7
2/10/21,90.1,91.5,88,89,214,1067695,95170588.5
2/9/21,90.5,91,88,90,281,7254777,655821158.6
2/8/21,92.5,93,90,91,250,2858667,260145655.7
2/5/21,93.5,93.5,90.8,92.3,146,278944,25723624.8
2/3/21,90,95.5,88.5,93.5,336,272475,25100383.8
2/2/21,94,95,87,89.8,384,654054,59501160.8
2/1/21,96.6,96.6,93,94,228,217512,20521708.3
1/29/21,98,98,94,96.6,358,450408,43134847.2
1/27/21,101,101.25,98,98.2,419,1554365,155023686.1
1/26/21,104.75,104.75,100,101,426,426312,42960750.5
1/25/21,102,107,102,104.5,901,1666624,174496893
1/22/21,94.1,104,94.1,100,1138,2486522,249350060.6
1/21/21,95,95.1,93.5,94.1,403,1308147,123074947.4
1/20/21,95,96.9,94.8,95.1,233,399394,38041853.6
1/19/21,96,96.5,94.5,95,380,981503,93436410.9
1/18/21,98,99,95,95.6,557,756731,72803746.1
1/15/21,96.2,98,96,96.6,425,1326979,128236978
1/13/21,94,96.5,93,96.2,447,1270168,120743261.1
1/12/21,95.5,95.5,93.3,93.9,693,1756565,164885223.7
1/11/21,95.4,97,94.1,95,458,1103002,104881541.1
1/8/21,95.5,96.3,94.8,95.6,292,286755,27318509.9
1/7/21,97,97,95,95.7,679,2047789,195015616.9
1/6/21,98,98,96,96.4,798,792255,76805034.8
1/5/21,99.3,99.3,97,97.8,639,650087,63854703.9
1/4/21,100,100,98.6,99,731,643334,63736397.9
12/31/20,102,102,99.7,99.9,606,1314013,131593237.2
12/30/20,99.6,103,98.5,100.8,1445,2691298,269291174.9
12/28/20,95.7,99,95.7,96.9,834,1510584,146372386.2
12/24/20,95,95,94,94.7,283,585444,55256348.5
12/23/20,94,94,93,93.5,140,210294,19663216.4
12/22/20,93.5,95,93.3,93.9,245,239535,22627755.8
12/21/20,94.2,94.2,92,93.7,270,1047073,96790135.8
12/18/20,94,94.9,92.8,93,423,999433,93108098.3
12/17/20,98,98,94.9,95.2,302,624453,60177541.6
12/16/20,97,99.3,95,97.2,585,1967550,192007029.5
12/15/20,96,98,95,95.3,390,1064160,102677507.1
12/14/20,97.5,97.5,94,94.8,389,321824,30998508.6
12/11/20,93,97,92.9,95.3,313,846472,80224818.9
12/10/20,93,94.8,92,92.6,409,2974166,274153968
12/9/20,92,94,89,92.9,539,3641139,332231488.6
12/8/20,87.5,91.9,87.5,90,409,1236996,110590276.3
12/7/20,86.2,87,85.9,87,143,145990,12680194.8
12/4/20,85.2,86.1,85,85.9,294,2542190,216598053.7
12/3/20,87,87,85.2,85.6,256,463910,39806595.6
12/2/20,88,88,86,86.6,348,467605,40602074.3
12/1/20,88,89.5,87.8,88,335,424836,37550535.3
11/30/20,85.2,89.4,83.1,88.7,533,913600,79685120.7
11/27/20,83,86.4,82.9,85.4,486,1254884,106224126.2
11/26/20,82,84,82,82.5,115,742515,60945924.5
11/25/20,82,82,80.9,81.9,131,234305,19024608.3
11/24/20,82,82,81.4,81.6,117,100663,8208560.7
11/23/20,83,83,81.7,82,196,301183,24714246.5
11/20/20,83,83,82.4,82.9,194,767761,63603110.6
11/19/20,82.1,84.5,82,82.5,535,1107403,92196816.4
11/18/20,80,82.9,78.9,81.6,496,1223584,99219992.3
11/17/20,79.8,79.9,78,79.6,250,486388,38547726.8
11/16/20,77.5,79.6,76.2,79.1,420,1702399,131659820
11/13/20,79,79.5,76,76.4,363,1436228,110056437.5
11/12/20,75.5,76,73.6,75,147,572896,42685050.5
11/11/20,79,79,74.5,75.4,261,619230,46699272.2
11/10/20,77.1,80,75.6,76,580,1532423,117987306.3
11/9/20,75,75.2,73.2,73.5,171,652552,48048577.7
11/6/20,74.8,74.9,73,74,216,758169,55918462.1
11/5/20,70.9,74,70.1,73.4,161,723786,51077999.1
11/4/20,71.5,71.5,70,70.4,68,50782,3576315.9
11/3/20,68,71.4,68,71,53,33219,2336706.7
