Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,134,135.5,132,134.75,158,483990,65295583.25
6/2/21,132,135,132,134.5,154,226031,30332146
6/1/21,130,132.75,130,132,148,325186,42345518.5
5/31/21,129,130,128.75,129.75,93,134351,17421005.25
5/28/21,129,130,129,129.5,152,698064,90635255.5
5/25/21,128,130,128,129.5,61,82901,10745944.5
5/24/21,129.75,129.75,127.5,128.5,39,8514,1091528.75
5/21/21,129.75,129.75,127.75,128.75,64,53329,6844849.25
5/20/21,128.75,129.75,128.75,129.25,37,25014,3221077.75
5/19/21,129,129.75,128.5,129.25,38,5822,750014.75
5/18/21,129.5,129.5,128.25,129,31,7868,1012030
5/17/21,128,129.5,127,128,102,132193,16878259.25
5/13/21,127.25,128,127.25,127.75,45,90419,11532557
5/12/21,128,128.25,127.25,127.5,34,66918,8555557.75
5/11/21,128,128.75,127,128.25,36,4970,636162.75
5/10/21,129.5,129.75,128,128,50,60408,7734176
5/7/21,129.5,130,129,130,65,50610,6571427.25
5/6/21,129.75,129.75,129,129.5,87,107235,13884047
5/5/21,128.5,130,128.5,129.5,82,40400,5236730
5/4/21,130.75,130.75,127.5,128.25,75,8477779,1102083721
5/3/21,128,130.5,125.5,129.75,127,686117,89066006
4/30/21,130,130,128,129.5,29,26259,3410197.25
4/29/21,130,130.75,126,130,170,7010665,910961778.8
4/28/21,127,128,126.25,127,71,28209,3580333
4/27/21,129,129,125,127.5,135,172298,22032758
4/23/21,128,130.25,127.5,130,166,1679030,218154833.8
4/22/21,131,131,129.5,130,85,52804,6863008.25
4/21/21,131,132.25,129,132,153,3085521,407142389
4/20/21,132,132.5,131.25,131.5,198,461508,60882861.5
4/19/21,133.5,133.5,132,132,67,885902,116944492.3
4/16/21,132.25,133.5,132,133,159,791571,104705221.5
4/15/21,133,133,132,132,149,739273,97607059.5
4/12/21,132.5,133.5,132,133,166,418442,55335676.5
4/9/21,132.5,133.75,131,132.75,121,561406,74381099.5
4/8/21,130,134,130,132.25,147,4483956,591973444.5
4/7/21,126,132,125,130.25,226,14653307,1903386855
4/6/21,125,127,123,126.25,91,75815,9491356.5
4/5/21,126,126,123,123.5,239,357132,44431972.25
4/1/21,126.25,126.75,124.75,125.25,150,174513,21826081.75
3/31/21,127.75,128,125.5,126,139,35809,4536027.5
3/30/21,131,133,129.5,130.5,170,519379,67572103.25
3/29/21,131.75,131.75,128.75,129.25,200,4676020,599016420.3
3/26/21,130,132,129.25,131.75,47,25204,3303772.75
3/25/21,132,132,129,130,52,217976,28346021
3/24/21,127,130,127,130,51,67028,8706417.5
3/23/21,130,130,127.25,128,60,35869,4590232.25
3/22/21,128,130,126.5,127.75,50,51984,6684911.25
3/19/21,126.75,129,125.5,127.75,131,667095,84766012
3/18/21,128,128,126,126.75,100,33969,4302033.25
3/17/21,130,130,127.5,128,104,326438,41791100.25
3/16/21,130.5,132,128.75,129,94,26616,3451858.5
3/15/21,129.25,132,129.25,130,24,2964,385558.5
3/12/21,128,131.75,128,129.25,32,138977,18218779.75
3/10/21,130,130,127.5,128,116,400038,51344074.5
3/9/21,132.5,134,131,131,117,234985,31294283.25
3/8/21,127,132,127,130,105,125240,16285375.5
3/5/21,129.75,130,126,126.25,173,486759,61486250.5
3/4/21,128,130,125,127,192,85324,10799402.75
3/3/21,130,130.75,125.5,126.5,247,75928,9668194.5
3/2/21,133,133,129,129.75,274,684549,88986684.5
3/1/21,134.5,136,132,133,104,32180,4284998.25
2/25/21,134,134,132,133.75,107,192013,25638815.25
2/24/21,132,134,130,130.75,160,85282,11177492.25
2/23/21,136,136,130.25,132.25,199,115625,15360180.75
2/22/21,140,140,135,135.75,224,50754,6932730.5
2/19/21,136,138.75,136,137.75,116,164965,22739153.5
2/18/21,136,137,135,136,192,380922,51940898
2/17/21,136.75,138,131,136.5,162,180012,24393596.25
2/16/21,140,140,135,136.75,237,478211,66177899.75
2/15/21,141.75,146.25,139.25,140,277,1083602,154230526
2/12/21,138,140,137,139.5,232,155264,21621711
2/11/21,138.25,142,125.25,134.75,421,397890,53365386.25
2/10/21,140,143,139,139.25,190,177476,24804696.75
2/9/21,144,144,138,142.25,268,294541,41330345
