Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,140,140,138,138.25,161,108416,15006307.5
6/2/21,140,139.75,139.5,139.75,105,742015,103706426.8
6/1/21,141,141,139.5,139.75,166,528778,74005139.5
5/31/21,140,140.5,138,140,228,2564153,358937603.8
5/28/21,137,139.5,137,137.5,209,184318,25459833.75
5/25/21,138.5,138.5,135,135.25,511,1319232,179902286.8
5/24/21,138,138,136.5,137.5,152,156906,21462325.5
5/21/21,139.75,140,135,138,221,223956,31018861
5/20/21,139.5,140,139.25,139.75,154,465005,65083572.25
5/19/21,140,140,139,139.75,163,209554,29273093.25
5/18/21,139.5,140.5,139.25,140.25,178,75238,10537578
5/17/21,136.5,140,136.25,139.25,252,200803,27745350.75
5/13/21,136,136.5,135,135.75,131,114148,15490217.25
5/12/21,135.5,138,135.5,136,129,74615,10155970.25
5/11/21,135.75,135.75,134.5,134.75,213,1541913,207790492.3
5/10/21,136,139.5,135,135.25,302,544172,73635976.25
5/7/21,134,136,133.75,135,371,1884608,253307756.5
5/6/21,135,135,133.5,134,595,680068,91704668.25
5/5/21,137.75,137.75,134.5,135,703,1397829,188993276.8
5/4/21,140,140,137,137.75,300,266813,36850788.75
5/3/21,141,141,139,139.75,332,1616331,226245511.3
4/30/21,141.75,141.75,140.5,141,204,1780304,249494968.8
4/29/21,143.5,143.5,141.5,141.75,245,322761,45845817.5
4/28/21,143.5,144,143,143.5,183,199527,28586511.5
4/27/21,145,145,143,143.5,173,131825,18976824.75
4/23/21,145.5,146,145,145.5,120,70306,10211741.75
4/22/21,146.25,148,146,146.25,148,489329,71567241
4/21/21,146.5,148,145.25,146.75,171,201710,29582189.25
4/20/21,149,149,146,146.5,264,316288,46454513
4/19/21,151,151,149,149.25,111,904574,135617632.8
4/16/21,150,150,149,149.75,123,619858,92825617.75
4/15/21,151.25,151.5,149,149.5,292,1813655,271558440
4/12/21,150.25,151.5,150,151,170,3245916,490129779.8
4/9/21,149,151,149,150.75,230,3362420,503564197
4/8/21,148.75,149.75,148,148.5,181,1124457,166917152.3
4/7/21,150,150,148.75,149,205,469210,69928848
4/6/21,150,150,149,149.75,100,289962,43310255.25
4/5/21,150,150.75,149.5,150,119,771836,115770905.3
4/1/21,149.25,150.75,149.25,150,143,1089977,163491794.3
3/31/21,150,150,148.25,148.5,95,88283,13149503.5
3/30/21,150,150,149.25,150,82,1211169,181654211.8
3/29/21,150,150,148.25,149.5,80,985466,147186550.5
3/26/21,148.25,150,148.25,149,42,451129,67513340.5
3/25/21,151,151,148.75,149.25,98,493623,73786072.75
3/24/21,150.25,150.5,148,150,201,1234098,185087043.8
3/23/21,153,153,149.5,150,164,2867018,430069277.5
3/22/21,148.5,150.25,148,150,121,926186,138877603.8
3/19/21,148,149,147.5,147.75,128,258120,38161612.25
3/18/21,150,150,148,148,142,880819,130371397
3/17/21,153,153,149,149,186,646433,96732770.25
3/16/21,150,150,147.5,148.5,265,283698,42099998.75
3/15/21,149,150,147.5,148,192,421322,62365915
3/12/21,149,151.5,149,149.75,135,1091747,163715330
3/10/21,148,150,148,148.5,110,52173,7740020.25
3/9/21,152,152,149.5,150,189,860101,129054336
3/8/21,150,152,149.25,150,314,1263990,189595791.5
3/5/21,149,150.5,146.25,148.75,315,975664,145092276
3/4/21,152,152,147.75,148.25,365,1662484,249588567.3
3/3/21,155.5,156,150.75,151.75,226,227653,34626945.5
3/2/21,156,158.75,153.5,154,245,166945,25933519.5
3/1/21,155,155,152.25,153.5,155,4252282,652600785.5
2/25/21,153,155.5,152,152.25,219,1344685,205383356
2/24/21,152,154,151,152,143,588512,89343048.75
2/23/21,155.5,155.5,150.5,151.25,270,446928,67923522.75
2/22/21,159,159,155,156,112,93449,14641168.5
2/19/21,160,160.5,158,160,169,1025793,164151811.8
2/18/21,160,160.5,158,160,242,1382839,220890572.5
2/17/21,157.75,159,153.25,156.25,167,105568,16254820.5
2/16/21,160,160,155,156.75,243,1781839,279630898.8
2/15/21,158.5,163,153.25,160,688,4788276,764406869.3
2/12/21,154,155,153,154.25,339,715949,110369153.5
2/11/21,154.75,155,148,152,511,2343691,352411489.3
2/10/21,154,157,153.25,154.75,229,2275220,352319289.8
2/9/21,155,158.75,152,154,363,2095193,322579474.3
2/8/21,160,160,154,154.75,355,737111,114417540.3
2/5/21,159,161,155,155.25,524,2126410,330507479.5
2/3/21,156,166.75,156,159,477,1580838,251796453.3
2/2/21,168.5,168.5,154,155.75,740,2452685,391729326.3
2/1/21,168.5,171.75,164,168.5,464,1097796,185304871.3
1/29/21,174,175,165.5,167,823,1686608,284601509.3
1/27/21,175,175,169.75,171.25,639,7414773,1263301911
1/26/21,181.25,182,170,172.75,1124,2829674,490672295.8
1/25/21,171,187,171,181.25,1372,6873287,1231572600
1/22/21,165,177,165,168.25,896,4296122,729873237.5
1/21/21,157,162,157,162,377,4049530,654853353
1/20/21,160,160,154.5,157,593,7931032,1239398102
1/19/21,162,163.75,157.5,160.25,466,3762367,605858208.3
1/18/21,162,165.5,161,161.25,375,1100095,178465442
1/15/21,153.75,162,153.75,160,550,2705678,427823081.3
1/13/21,150.25,154.5,150.25,153.5,177,317749,48779272.75
1/12/21,155,155,150,150.5,185,843960,128471408.3
1/11/21,149,155,149,154.75,222,334081,51162970.75
1/8/21,148.75,150,148.25,149,149,558315,83081797.5
1/7/21,149.8,149.8,148.1,148.5,156,1800245,267363881.6
1/6/21,150,150.1,149.8,149.8,158,452832,67890828.7
1/5/21,149.9,151,149.8,150,198,1343124,201475770.4
1/4/21,151,151,149.5,149.6,181,1208543,181179679.1
12/31/20,150.1,152,149.3,149.6,190,1232064,184391123.1
12/30/20,149.5,154,149.5,149.9,381,5058876,759311975.2
12/28/20,148,149.5,147.7,148.7,129,109656,16270390.4
12/24/20,148,149,146,148.4,117,234646,34697685.5
12/23/20,147,149,144,146.1,295,2027908,296398749.1
12/22/20,148,149,147,147,238,1240866,182431894.1
12/21/20,150,151.3,148,148.5,282,1699071,254390733.9
12/18/20,150,151,149.9,150,108,302641,45400304.7
12/17/20,150,150.5,149.6,150,108,209548,31433596.5
12/16/20,151.4,151.4,149.1,150,379,3401948,511061333.2
12/15/20,153,153.4,151.1,151.4,236,446378,67881937.7
12/14/20,152.9,153.9,152.5,153.4,214,1379908,211778860.9
12/11/20,153,153,151.8,152,172,1144397,173967528.5
