Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,105,106,104.5,105.5,182,468993,49475855.75
6/2/21,104.75,105.5,104,105,111,192288,20185119.25
6/1/21,104.25,105.5,104,104.75,193,163668,17116473.75
5/31/21,102,104.25,102,103.75,231,378598,39042254.5
5/28/21,102.75,103.5,102,102.5,186,264547,27118032
5/25/21,100,103,99.5,102,223,236194,24015207.45
5/24/21,104,104,99,100.5,527,418454,42244288.8
5/21/21,105.5,106.75,103.5,105.25,491,1057163,111116226.3
5/20/21,107.25,107.25,105.5,106.5,254,240055,25508508.5
5/19/21,108.75,109.5,106.5,107,342,396100,42593602.5
5/18/21,109.5,109.5,106.75,108.5,347,291044,31481395
5/17/21,103,110,103,107.75,864,771461,82518976
5/13/21,99,102.5,99,101.75,964,889259,89754623.1
5/12/21,93.2,93.9,93,93.6,56,51680,4832370.6
5/11/21,91.6,94,91.1,93,68,23027,2144826
5/10/21,93.9,93.9,91.5,92,106,27047,2505317.8
5/7/21,94.3,94.3,93.1,94,102,53128,4993828.6
5/6/21,92.9,95,92.8,94.8,65,30735,2865274.5
5/5/21,91.6,93,91.1,92.2,62,11043,1015510.5
5/4/21,91.5,91.9,91,91.2,98,57077,5203014.6
5/3/21,91.8,91.8,91,91.5,69,224798,20564459.7
4/30/21,91.1,91.8,91,91.7,30,10269,936526
4/29/21,91.7,92,91,91.1,115,81605,7442038.2
4/28/21,91.1,92,91.1,91.9,122,108942,10008862.6
4/27/21,90.5,91.8,90,91.1,171,42719,3882439.9
4/23/21,92.5,93,92,92.5,100,46515,4291945.9
4/22/21,94.7,94.7,92.5,92.6,101,69202,6460411.6
4/21/21,93.3,94.7,93,93.7,144,71897,6720804.3
4/20/21,96.2,97,93.2,93.8,198,63909,6036369.4
4/19/21,97,97.5,96,96,98,29772,2865228
4/16/21,97.8,97.9,96,96.5,140,78156,7541618.2
4/15/21,96.5,98,96.3,97.8,108,26954,2629814.8
4/12/21,95,96.5,94.5,96.2,114,45779,4392837.4
4/9/21,93,95.2,93,94.9,216,137771,13053311.8
4/8/21,92.5,92.5,91.6,92,113,334411,30765036.2
4/7/21,92.5,92.5,91.3,91.5,205,93529,8594586.4
4/6/21,91.5,92.5,90.6,92,107,41278,3774710.1
4/5/21,90,91.5,89.3,90.9,168,330864,29768838.2
4/1/21,90,90,89.5,89.6,171,59412,5332077.4
3/31/21,90,90,89.9,90,57,40389,3634421
3/30/21,91.5,91.5,89.5,89.8,112,65893,5923963.5
3/29/21,89.5,90,89,89.5,138,59459,5315560.5
3/26/21,90,91,89.4,89.9,145,534140,47221326.3
3/25/21,91.4,91.8,89,89.4,158,51978,4687674.8
3/24/21,89.1,91,88.9,90,220,168453,15152960.1
3/23/21,90.5,90.6,88.3,89.9,139,28196,2514575.3
3/22/21,89,90.5,89,89.8,128,43455,3902470.3
3/19/21,89.1,90,86.6,86.9,374,2104052,185129653.4
3/18/21,91.5,91.5,89,89.1,342,184176,16462981
3/17/21,93,93,91.5,91.6,94,12943,1188833.7
3/16/21,94,94,91.5,92.3,143,32693,3013485.8
