Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/3/21,354.5,368,350,361.75,1085,684526,245877673.3
6/2/21,360,364.75,348,350.75,735,350540,123393693.5
6/1/21,361,371,353,358.75,2291,1725182,621934916.8
5/31/21,340,355,340,350,1132,834600,290322592.8
5/28/21,332.5,340.5,330,338.25,440,261243,87817500.5
5/25/21,328,335.5,322.25,331.5,446,221365,73261502.25
5/24/21,326,327.75,313.5,325,400,135015,43369257.5
5/21/21,338,338,310,321.75,654,338951,109212452.8
5/20/21,337,337,328,330.75,236,89356,29489963.5
5/19/21,340,340,330.25,335.75,278,102949,34352511.5
5/18/21,337.25,340,327,335,531,237496,79362630.75
5/17/21,329.25,342,329.25,340.25,985,558078,188494547.3
5/13/21,315.25,327.5,315.25,325.75,313,170660,55249512.5
5/12/21,318.5,325,317.25,320.25,115,50372,16153814
5/11/21,315.25,324.75,315.25,318.75,158,70256,22486091
5/10/21,330,330,316.25,318,380,149344,47702570.75
5/7/21,326,329.5,322.75,328.25,172,60686,19879621.25
5/6/21,324,330.5,319,321,397,164052,53426656
5/5/21,319,329,319,320,273,97473,31346407.25
5/4/21,339.25,339.75,317,319,819,344887,111687695.3
5/3/21,323,338,322,336.25,1263,685985,228584704
4/30/21,323,324,315.5,320.5,198,162175,51953346.75
4/29/21,327,331,312,320,505,308509,99409307.25
4/28/21,298,328,298,325,887,436721,139571672.3
4/27/21,305,308.5,299.25,300.5,703,371142,112155352.5
4/23/21,317.25,317.75,305.25,310.75,607,309859,96634203.25
4/22/21,330,330,315,319.75,427,217521,69726521.75
4/21/21,315,332,310,329.5,696,671766,217793527
4/20/21,341.5,348.5,312,321.5,1158,586525,193039713.8
4/19/21,346.5,355,336.5,341.5,602,273231,94629305.75
4/16/21,356,356,333,346.5,1676,1017231,349791743.8
4/15/21,335,364,335,357.25,1777,1320759,463388382
4/12/21,329.75,340,329.25,332.5,706,448855,149905455.5
4/9/21,327,340,322,327.25,1388,645294,214264227
4/8/21,305,325,300,323,1158,684730,216112908.5
4/7/21,300,308,297,304.5,759,743979,224028805
4/6/21,303,305,297,298.25,576,364193,109007200.5
4/5/21,303,304,295.5,297.5,243,96332,28844491.5
4/1/21,298.75,303,292.5,295.75,289,351911,105367962
3/31/21,296,300,289,292,191,68217,19897486
3/30/21,299,305,291.5,292.5,165,54384,16089993.75
3/29/21,305,305,292,293.75,158,65005,19165469.75
3/26/21,295,299,288,296.5,276,295365,88233338
