Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/4/21,47,47.5,46.6,46.8,247,334135,15669460.1
6/3/21,46.8,47.1,46.1,46.9,151,157259,7367276.4
6/2/21,47.5,47.5,46.6,46.9,142,124763,5861305.7
6/1/21,47,47.5,47,47.1,93,230036,10836699.5
5/31/21,47.5,47.5,46.3,47,139,149607,7056007.4
5/28/21,46,47.2,46,46.9,108,638378,30000059.5
5/25/21,45.5,47.1,45.5,46.5,58,67619,3161563.4
5/24/21,45.5,47,45,45.8,39,20000,906217.5
5/21/21,47,47,45.6,46,55,371764,17096978
5/20/21,47,47,46,46.2,79,654699,30745506.4
5/19/21,47,47.2,46.5,47.1,65,135671,6370599.6
5/18/21,47.4,47.6,46.2,46.8,71,61049,2869206.6
5/17/21,46,47.5,44.9,46.9,121,265115,12261718.3
5/13/21,45.5,46.8,45.1,46.3,84,101261,4692598.4
5/12/21,45.5,46.5,45.2,46.5,90,1024969,47566156.1
5/11/21,44.5,46,44.1,45.3,118,295688,13342969.6
5/10/21,45,45,44.3,44.5,142,1140920,50771502.6
5/7/21,44.7,45.3,44.5,44.9,85,213230,9573317
5/6/21,43,44.9,43,44.2,91,517624,22538820.7
5/5/21,43.2,44,43,43.4,67,424965,18454615.5
5/4/21,44.6,44.6,43,43.1,130,324716,14125705.5
5/3/21,44.5,45.5,44.1,45.1,58,41289,1851506.8
4/30/21,45.2,45.7,44.8,45.1,32,9876,445158.6
4/29/21,45,46.1,43.9,44.8,127,125776,5618757.6
4/28/21,42.4,45,42.4,44.7,222,487165,21389952.8
4/27/21,44.6,44.6,42,42.6,289,364166,15685532.2
4/23/21,45.3,45.9,43,44.6,169,186455,8231602.6
4/22/21,47.8,47.8,45.2,45.7,192,211816,9712929.2
4/21/21,47,48,46,47.8,115,122631,5806035
4/20/21,49,49.8,44.1,46,326,473391,22432211.3
4/19/21,51,51,48.5,48.9,208,328136,16234021.9
4/16/21,51.9,51.9,49.1,50.6,207,378753,19086509.2
4/15/21,52,52,51,51.1,252,455520,23488468.7
4/12/21,49.1,51.9,49.1,51.3,234,802972,40753010.8
4/9/21,49.4,51,48.6,49.2,287,1041613,51614598.3
4/8/21,49.2,50,47.6,49.3,188,551366,27070373.1
4/7/21,47.1,50.6,47.1,48.5,692,2198139,107891131.9
4/6/21,45.9,47.5,44.7,47,413,1614618,73960708.4
4/5/21,45.1,46,44.8,44.8,262,789878,35514540.7
4/1/21,44.5,45,44,44.8,174,491936,21948258.1
3/31/21,43.7,44,43.5,44,48,84538,3713865.9
3/30/21,44.1,44.4,43.5,43.5,64,455829,19853121.3
3/29/21,44,44.1,43.2,43.8,162,1019871,44495316.9
3/26/21,43.2,44.1,42.6,43.5,55,64017,2785030.8
3/25/21,44.8,45.3,43.4,43.7,97,112098,4978032.9
3/24/21,43.5,44.8,43,44.1,277,480710,21167773.7
3/23/21,43.9,43.9,42.5,43.5,41,13320,568918.1
3/22/21,43.7,44.9,42.8,43.4,110,184447,7999705.2
3/19/21,42.8,43.8,42,43,125,1433197,61480990.4
3/18/21,44,44,42.5,42.8,117,122731,5289060.9
3/17/21,46.1,46.1,43.6,45,93,733756,32299289.2
3/16/21,47,47,45,45.5,94,62989,2862544.2
3/15/21,47.6,47.6,46.1,46.3,64,137194,6388367.8
3/12/21,47,48.5,47,47.4,45,166985,7963272
3/10/21,49.8,49.8,46,47.6,77,61173,2916236.4
3/9/21,50,50.3,47,47.9,200,444392,21997063
3/8/21,44.5,49.4,44.5,48,177,320737,15283872.9
3/5/21,45.9,46,42,45.2,85,123394,5402488.8
3/4/21,47,48,43,43.6,150,202022,8963453.2
3/3/21,47,47,45,45.6,188,544853,24821366.1
3/2/21,49.9,49.9,47.5,47.8,110,236785,11556599.8
3/1/21,51,51,49.5,49.6,89,345557,17177631
2/25/21,50,51.2,48.2,50.1,141,599536,29972398.4
2/24/21,47,50.2,47,48.1,141,213778,10533641.2
2/23/21,49.9,49.9,47,47.3,226,173671,8281118.3
2/22/21,50.5,50.5,49,49.9,184,347775,17415748.9
2/19/21,51.5,51.5,50,50.3,182,239104,12141648.6
2/18/21,50,51.7,49.9,50.9,234,320158,16061226.2
2/17/21,49.7,50.2,46.4,49.8,368,611869,29928137.8
2/16/21,54,54,49,49.7,398,355182,17868668.1
2/15/21,58,58,52.5,52.7,937,1204569,64625885.2
2/12/21,55,62,54,60,647,1053706,62525592.5
2/11/21,52.5,54,42.1,53.3,443,1099623,56151862.1
2/10/21,58,58,51.1,52.2,515,557804,30200383.4
2/9/21,60,60,55,57.6,277,284397,16296808.1
