Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/4/21,79.9,80.1,79.7,79.9,98,231652,18497691.3
6/3/21,79.4,80.3,78.1,79.5,106,99644,7919313.6
6/2/21,79.2,79.4,78,79.3,91,133135,10530222
6/1/21,78.3,79.3,78.3,79.1,102,130607,10298264.7
5/31/21,79,79.5,78.1,78.3,116,78540,6187593.5
5/28/21,78,79.8,77.8,78.5,119,63255,4962016.3
5/25/21,79.7,79.8,77.7,78.8,31,16111,1271499
5/24/21,78,78.5,76.7,78,58,15837,1225973.8
5/21/21,79.8,79.8,77.5,78.3,55,34956,2747827.7
5/20/21,79.5,80.5,78.6,80.1,60,28724,2295182.2
5/19/21,80,81.2,78.6,79.5,57,12321,976175.5
5/18/21,79.1,81,78,80.7,108,33370,2668270.9
5/17/21,75.5,79.3,75.3,79,107,73970,5694824.4
5/13/21,74.9,75.5,74.9,75.5,30,20935,1574536.9
5/12/21,75,75.5,75,75.1,58,17177,1290438.6
5/11/21,75,75.9,75,75.1,55,43184,3242649.7
5/10/21,75.3,75.3,75,75,59,32421,2433021.4
5/7/21,75.1,76,75.1,75.3,72,62571,4717424
5/6/21,76.4,76.5,75,75.1,63,47761,3592788.6
5/5/21,74.9,76.4,74.9,75.6,45,19599,1483075.7
5/4/21,76,76,74.9,74.9,178,160272,12022957.2
5/3/21,75.4,76,75.4,75.5,72,128855,9737379.5
4/30/21,76,76,75.3,75.5,46,45817,3460425.5
4/29/21,76.5,76.5,75.5,75.9,53,60567,4603772.7
4/28/21,75.4,76.9,75.4,75.9,79,26921,2048598.2
4/27/21,75,78.5,75,75.1,192,160532,12071913.7
4/23/21,76.4,77,75,76,84,26072,1980085.1
4/22/21,77.9,78.7,76,76.4,155,52780,4043651.7
4/21/21,78.5,78.5,77.5,77.9,91,17210,1336839.4
4/20/21,79.6,79.6,78,78.1,119,65956,5199571.9
4/19/21,79.7,79.7,79.2,79.4,57,31860,2533300
4/16/21,79.8,80,79.7,79.9,48,22853,1825868.2
4/15/21,79.5,80,79.5,79.8,50,14352,1145167.5
4/12/21,80.5,80.9,79,80,71,36573,2919058.5
4/9/21,81,82.5,80,80.2,150,206208,16587057.9
4/8/21,81,81.3,80.5,81,64,87393,7075695.4
4/7/21,80,80.1,79.5,80,75,119971,9593063.7
4/6/21,80,80,79,80,87,27814,2214837.1
4/5/21,80,80,79.5,79.5,109,259152,20708980.7
4/1/21,80.8,80.8,79.8,80,38,11590,927752
3/31/21,80.5,80.9,80,80.8,22,2653,214163
3/30/21,80.1,81,79.5,80.1,98,77270,6187552
3/29/21,81.5,81.5,79.9,80.5,57,9016,724789.4
3/26/21,80.3,81,80,81,27,13276,1062434.7
3/25/21,81.5,81.5,80,80.9,62,15935,1280266.4
