Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/4/21,38.4,39,38.4,38.7,719,2795316,108227647.7
6/3/21,38.2,38.8,37.9,38.5,1186,3330163,127894315.5
6/2/21,38.5,38.7,38,38.3,1333,5708232,217961067.2
6/1/21,40,40,38,38.3,2190,7485540,290743781.9
5/31/21,39,40.5,39,39.8,3020,10635441,423320229.7
5/28/21,37.7,38.8,37.4,38.4,1584,5626492,214181274.2
5/25/21,38.1,38.1,37.5,37.7,623,1891571,71496951.6
5/24/21,36.8,38.1,35.9,37.8,1152,3255161,121605430.8
5/21/21,37.4,37.5,35.5,36.6,949,3408287,124345568.9
5/20/21,38.3,38.3,37.1,37.4,703,1922007,72107985.3
5/19/21,38.4,38.8,37.8,38.3,893,6923437,265433189.5
5/18/21,38.2,38.4,37.5,38.1,938,3105717,118136881.9
5/17/21,37.1,38.5,37.1,38.1,1422,5816418,221458312.9
5/13/21,36.4,37.1,36,37,617,2065336,76261343.5
5/12/21,36.6,37.5,36.6,36.8,1290,7842046,290734319.5
5/11/21,35.9,37,35.7,36.4,882,3952782,144336680.8
5/10/21,37,37.5,35.6,35.9,1862,5742058,209228879.4
5/7/21,34.5,37.3,34.5,37,2208,11034699,403735233
5/6/21,34.5,35.3,34.3,34.5,726,3405020,118139093.5
5/5/21,33.3,34.7,33.3,34.3,430,1384266,47277695.5
5/4/21,34.2,34.5,33,33.2,994,2715385,91139901.7
5/3/21,35,35.3,33.9,34.1,1067,3732872,128515192.8
4/30/21,34.5,35.3,34,35,640,2328320,81180111.1
4/29/21,35.3,36,33.6,34.9,1911,8055607,282214533.7
4/28/21,31,35.5,31,34.9,2347,9778091,329307326.3
4/27/21,33,33.4,30.8,31.2,2299,8668883,273629784.6
4/23/21,35.1,35.4,30.5,33.7,2944,9730991,331300158.1
4/19/21,370,372,360,367.75,1773,1575177,580082943.8
4/16/21,367,370,351,366.25,1373,689774,250532564.8
4/15/21,361,375,358,365,1771,1203696,441848546
4/12/21,329,359.75,328.25,355,1860,1469284,511267135.3
4/9/21,324.75,329.5,324,328.25,672,491089,161043508.3
4/8/21,320,324,312,322.75,670,516787,165701686.3
4/7/21,310,327,310,315.75,1350,1121221,357127474
4/6/21,285,306,278,301.75,1057,772912,227506823.3
4/5/21,273,280,273,278.25,403,236096,65684369.25
4/1/21,259.5,274,256,268.5,206,169105,45254180.25
3/31/21,260,260,256,257,76,29720,7649918.5
3/30/21,260,260,256.5,257.5,68,14404,3709632.75
3/29/21,254.75,263,254.5,260,97,27780,7201273.75
3/26/21,255,257.5,252,255,93,556357,144478988.5
3/25/21,264,265,252,255,215,179363,45951823.5
3/24/21,245.25,264.75,245,260.75,293,189106,48496787.75
3/23/21,245,251,237,247.25,228,207571,50356934.5
3/22/21,231,244,228,237.25,145,82131,19481856.5
3/19/21,235,237.25,227,229,208,122348,28188008.5
3/18/21,242,242,235,235.5,268,292297,68894372
3/17/21,250,250,241.5,242.25,88,16124,3914019
3/16/21,255.5,255.5,240,249,176,98275,24277124.25
3/15/21,260,260,252,253.25,83,12753,3253116.25
3/12/21,268,268,255,259.25,78,29948,7735335.5
3/10/21,255,265,251,252.5,91,34936,8862284
3/9/21,265,278.5,251.5,259.75,536,355380,95344869.5
3/8/21,238,264,237.25,260.75,480,286711,72089943
3/5/21,235,245,226,232,470,347256,80358052.75
3/4/21,250,254,229,235,626,340399,81065079
3/3/21,270,270,239,251,590,446202,112893841.5
3/2/21,280,280,269,270.75,277,299049,82081852
3/1/21,295,295,280,280.75,182,146722,41659884.25
2/25/21,278,295,270,285.5,360,304202,86371636.5
2/24/21,279,290,265,278.25,447,500281,139251679
2/23/21,310,310,273,280.75,1053,482894,139062770
2/22/21,328,328,310,313.75,504,306657,97516905
2/19/21,330,331,323,324.25,321,148368,48349978.5
2/18/21,330,340,325,329.75,403,361588,118948133.5
2/17/21,327,330,302,328,778,459496,147693208.5
2/16/21,344,346,315,323.75,1268,610938,199607045.3
2/15/21,400,405,348,353,3821,2807427,1027402399
2/12/21,325,339.5,300,333.5,1839,1880742,610381913.5
2/11/21,290,300,221,280.25,1434,1489493,381841954.5
2/10/21,310,318,290,294.25,561,560294,169621257
2/9/21,315.25,320,290,311.75,822,519164,157563726.3
2/8/21,352,359.75,315,321.25,1302,664620,221199136.3
2/5/21,340,359.75,337,349,791,1012876,350595172
2/3/21,335,360,300,335.25,1274,1654118,550410113.5
2/2/21,383,383,290,319.75,1317,1299964,445568028.3
2/1/21,400,400,351,383,937,826955,316534809.3
1/29/21,427,430,390,398.5,1268,1375937,558265528.3
1/27/21,385,439.5,370,421.25,2959,2492337,1019030428
1/26/21,320,378.5,319.5,351.75,1715,1351183,454382970.5
1/25/21,291,319.5,288.5,303.25,942,1475643,437214664.8
1/22/21,300,310,277,288.5,1242,1106516,321033304.5
1/21/21,225.25,300,225.25,278.75,1725,2033627,523645802.3
1/20/21,206,218,205,215.75,400,643883,135997208
1/19/21,220,224,210,212.25,408,552868,119373329.8
1/18/21,206,220,206,217.25,534,853483,180699931.5
1/15/21,196.75,206,196.5,202.75,494,960461,193593155
1/13/21,200,202.75,195.5,197.5,403,759314,151447588.8
1/12/21,200,201,197,198.75,311,516546,102928486
1/11/21,196,200,195,197,530,560233,110599213
1/8/21,195,198,192,194.5,195,159063,30989349.75
1/7/21,195,198,193.1,195,486,388627,76041845.4
1/6/21,188,190,184.1,189.1,357,334457,62944024.8
1/5/21,185,190.9,185,187.8,627,536191,101265636.5
1/4/21,178,183,178,182.1,406,583562,105698772.8
12/31/20,177.7,178,176.2,177.1,209,283113,50078258.8
12/30/20,178,178,176.8,177.4,378,557991,99058623.5
12/28/20,174,178.9,172.5,176.8,409,283845,49729060.9
12/24/20,172,174,172,173.3,188,148819,25735087.9
12/23/20,175,175.2,169.1,172.9,385,602486,103886580
12/22/20,166,175,165.6,173.5,649,626745,106654042.8
12/21/20,160,166.5,160,165.6,614,696782,114726240.7
12/18/20,157.4,159.9,157.4,159.2,210,305359,48445159.9
12/17/20,157,158,155.5,156.5,249,497443,77938679.2
12/16/20,156,156.9,155.1,155.8,125,235172,36689475
12/15/20,155.5,156.9,154.8,155.6,109,112583,17476745.7
12/14/20,155,158,155,155.8,62,43657,6815187.9
12/11/20,160,160,155,155.6,83,52749,8208002.2
12/10/20,158,158.9,155,156,144,233002,36416790.9
12/9/20,160.9,164,156.5,158.2,324,397719,63464133.2
12/8/20,154.9,161.5,153.1,158.6,432,1276137,200071839
12/7/20,155,155.1,153,154.7,222,505938,78381210.9
12/4/20,155,156,154,155.2,155,367656,57032714.4
12/3/20,156,156,153,154.7,150,122509,18976183.5
12/2/20,156.2,158,155,156.1,308,449956,70723510.3
12/1/20,154.6,159.5,154.5,155.9,359,520704,81007966.2
11/30/20,146.5,156.5,146,154.6,691,1364425,207472595.3
11/27/20,147.8,147.8,146,146.5,162,153394,22537148.9
11/26/20,147,149,147,147.8,230,234759,34782720.1
11/25/20,143.5,147,143,146.4,225,228291,33097412.6
11/24/20,140.2,143.1,140,142.3,159,139710,19773439.5
11/23/20,143.4,144,141,141.7,116,151751,21553268.6
11/20/20,143,144.9,141.5,143.4,146,108198,15483364.6
11/19/20,144.1,144.5,141.5,141.6,132,35921,5099841.8
11/18/20,152,154,143.1,144.5,339,240724,35566253.6
11/17/20,140.2,151,140.2,149,453,345835,51275586.7
11/16/20,141,141.5,138.1,140.2,130,87431,12264980.6
11/13/20,143.9,143.9,139.7,140.2,343,291129,40862232.2
11/12/20,146,146,142,143.9,111,53567,7709146.6
11/11/20,147.3,149.9,140,146,320,314960,45430272
11/10/20,156,156,141.1,148.3,477,352551,52307441.9
11/9/20,170,170,140,152.1,1782,1533367,241150346.3
11/6/20,138.1,165,138.1,162.7,1827,2168120,336274684.1
11/5/20,124,133.7,124,132,395,471444,60865550.4
11/4/20,120,124.1,119.9,123,172,126775,15411444.3
11/3/20,118,119.9,118,119.1,133,115913,13796378.8
11/2/20,117.8,119,117.6,118,84,61901,7313073
10/29/20,115,119.9,115,119.3,109,64195,7542677.7
10/28/20,116.6,118,113.5,114.4,177,116216,13410035.9
10/27/20,117.5,119.5,116.2,116.5,105,35836,4210541.7
10/26/20,117,121,114.4,118,124,117507,13806089.2
10/23/20,122.9,127,119,121.1,178,128626,15661784.4
10/22/20,115,123.8,110,120.9,316,199287,23516531.1
10/21/20,124,124.5,114.9,116.1,442,545414,66039684.1
10/20/20,128,128,122.1,125.2,352,359074,45006387.1
10/19/20,132,133.5,127.1,128.1,226,143746,18648739
10/16/20,134.9,134.9,129,132.3,356,345574,45299662.8
10/15/20,128,136,128,134.9,616,980355,130275746.6
10/14/20,116.5,127,115.5,126.1,562,1202651,146205948.6
10/13/20,117,118.3,114,115,152,216383,24980587.7
10/12/20,114.2,118.1,114.2,116.1,194,277388,32365931.2
10/9/20,115.9,116.2,113.5,114.1,233,287673,33022353.7
10/8/20,109,115,109,113.9,301,333533,37490282.3
10/7/20,106,109.9,106,107.7,388,324625,35207996.9
10/6/20,100,113,100,104.8,509,653895,68914286.6
10/5/20,111,115,102.1,107.4,516,627911,68376738.3
10/2/20,115.2,120.3,113.3,119.5,252,283571,33554976.7
9/30/20,115,116.5,113,115.4,157,354827,40686504.6
9/29/20,115,115,111.1,113.5,175,112266,12737420.9
9/28/20,116.5,117.2,114,114.6,198,138327,15958087.4
9/25/20,114.5,117,114.5,116.1,279,400735,46386257.3
9/24/20,114,115.5,113.2,114.5,214,305263,34861120.2
9/23/20,116,117.5,112,114.5,415,678805,78189679.2
9/22/20,110,116,110,115,722,1150724,129910683.8
9/21/20,102,110,100.2,108.5,537,754299,79072448.7
9/18/20,94,100,94,99.4,377,481999,47361334.1
9/17/20,95,95,93,94,159,209841,19748022.7
9/16/20,94,95.5,93.3,93.7,347,527162,49608350.2
9/15/20,90,94.4,90,93.1,308,336714,31086075.7
9/14/20,87.7,91.5,87.7,89.9,235,273639,24539467.1
9/11/20,88,88,86.1,87.2,105,52518,4570465.3
9/10/20,87.5,89.4,87.5,87.9,160,244896,21636261.2
9/9/20,86,88.9,85.1,88,258,315527,27533659.7
9/8/20,84.1,87,84.1,86.1,147,176452,15088974
9/7/20,84,85.5,83,84.8,149,245231,20675689.6
9/4/20,82.5,84,81.8,83.7,211,339394,28154901.5
9/3/20,84.1,84.2,82.4,82.8,260,263891,21837326.9
9/2/20,83,85,82,84,468,599040,50194651.9
8/31/20,78,82.5,78,81.9,412,1284328,101032625.6
8/28/20,77,78.5,77,77.9,62,106065,8188831.2
8/27/20,77.1,77.1,75,76.6,35,15110,1150820.5
8/26/20,77,78,76.5,77.1,59,59329,4570377.5
8/25/20,78.6,78.6,77,77.3,89,59845,4647250.3
8/24/20,79.5,79.5,78.2,78.9,119,116853,9225099.5
8/21/20,78.5,79.5,77,78.9,161,265711,20884950
8/20/20,77.2,78.2,77.2,78,138,165317,12869460.7
8/19/20,74.9,77,74.8,76.2,128,198375,15080327.1
8/18/20,74.5,75,74.3,74.9,78,49145,3664833.1
8/17/20,75.5,75.5,73,74.4,169,120508,8891104
8/14/20,77.3,77.3,75.8,76.1,76,83569,6364146.6
8/13/20,78,79,75.6,76.2,124,81425,6236036.2
8/12/20,78.8,78.8,77.5,78,133,287490,22403176.5
8/11/20,76.6,79,76.6,78.6,88,84886,6627100.4
8/10/20,79,79,76.3,77,94,88877,6863292.4
8/7/20,80,80.7,77,78.7,245,296509,23442994.1
8/6/20,77,79,76,78.3,157,148528,11535277.1
8/5/20,77,77.7,76.1,76.5,99,92255,7078603
8/4/20,76.3,77,76.2,76.6,160,127426,9748530.5
7/31/20,75,76.5,74.7,76.3,79,59294,4475365.5
7/30/20,75,76,74.7,75.2,88,46643,3501821.7
7/29/20,76,76,74.7,75.5,47,32132,2416664.8
7/28/20,77.8,77.8,73.1,76,143,101532,7725097.8
7/27/20,75.7,78.3,75.7,77.1,266,214273,16557666.3
7/24/20,72.5,75.9,72.5,75.7,354,419713,31437330.8
7/23/20,71.5,73,71,72.4,110,113013,8135523.5
7/22/20,71.9,71.9,70.5,71,43,30961,2203928
7/21/20,72,72,71,71.2,119,146285,10461503.9
7/20/20,71.8,72,70.9,71.2,148,68164,4868988.8
7/17/20,68.4,70.5,68.4,70,195,169116,11808597.5
7/16/20,67.4,69.4,67.4,68.2,69,60798,4167608.2
7/15/20,66.8,67.9,65.5,66.8,116,69970,4644317
7/14/20,63,68,63,66.8,187,90479,5960303.2
7/13/20,66.3,67.3,63,65.6,261,259859,17025284.6
7/10/20,70,70,66.1,68.2,255,376298,25696019.8
7/9/20,70,71,70,70.6,52,50305,3530209.8
7/8/20,70.1,71.1,69.2,69.7,79,113854,7969604.4
7/7/20,70.9,71.8,70,70.5,98,90312,6370527.4
7/6/20,69.1,71.9,68.6,71,124,68907,4822761.2
7/3/20,70.5,71.5,68.8,69.2,174,201117,13898513.6
7/2/20,71.8,72,68.2,70.8,191,180577,12705124.8
7/1/20,73.2,73.3,71.6,71.9,169,74305,5362875.4
6/30/20,73.5,73.5,72,72.9,195,192208,13984543
6/29/20,72.8,74.7,72.6,73.2,386,366067,26814659.5
6/26/20,71.9,72.4,71,71.6,190,200497,14406465.5
6/25/20,72.9,73.2,71,71.5,362,207438,14972300.1
6/24/20,70.2,72.7,70.1,72.3,717,1162316,83436597.4
6/23/20,67,70,67,69.5,746,1233447,84632377.2
6/22/20,66.8,67,64.1,65.2,646,1912293,124270965.8
6/19/20,65,67.5,64.5,64.9,257,404163,26215780.8
6/18/20,66.9,66.9,64.7,64.9,339,666355,43349172.1
6/17/20,67.5,67.9,65.5,65.7,75,139353,9181405.2
6/16/20,66,68,65.2,65.5,157,257317,16925388.5
6/15/20,66.1,66.4,65.9,66.2,56,37568,2481656.1
6/12/20,66.2,66.5,65.9,66.5,18,3328,220900.5
6/11/20,66,67,66,66.2,46,46878,3099400.4
6/10/20,66.5,67,66,66,63,80213,5301844.5
6/9/20,66.8,66.9,65.6,66,115,163099,10782463.9
6/8/20,64.1,66.9,64.1,65,148,249320,16252774.3
6/4/20,66.9,66.9,64.5,64.8,27,4887,317652.6
6/3/20,67,67,64.9,65,50,22434,1469112.2
6/2/20,64.2,66.5,64.1,65.7,38,33791,2201666.4
6/1/20,65,65,63.8,64,106,87200,5582408.4
5/29/20,67,67,64.8,65,124,95336,6230518.9
5/28/20,65,68.4,65,66.9,30,9114,609944.9
5/27/20,65.1,67,64.6,65,101,101731,6650126.1
5/26/20,67,67,65,65,70,37094,2442881.8
5/22/20,69.8,70.1,65.6,66.2,112,76652,5129041.1
5/21/20,67.9,70.9,67.8,69.9,123,74704,5186922.3
5/20/20,67,69,63,65.9,112,83860,5600682.4
5/19/20,68,69.7,65.5,67,114,105123,7087881.5
5/18/20,60,67.5,60,67.4,87,54902,3598686.2
5/15/20,57.9,64.9,57.9,59.6,37,8623,511878.2
5/14/20,56,57.9,56,57.1,73,50140,2828812.1
5/13/20,54,60,54,56,123,85382,4861545.4
5/12/20,50,53,47,51.1,133,198296,9945253
5/11/20,52.5,52.5,52.5,52.5,10,13041,684652.5
3/20/20,58,58,53,55.9,86,58512,3259198
3/13/20,64,64,59.6,61.6,241,201892,12377349
3/12/20,70,70,65,65.3,153,93564,6191763.2
3/11/20,68.2,74.8,68.2,71.4,90,40100,2790458.5
3/10/20,70.4,71,66,68.2,124,66440,4563040.8
3/6/20,77.1,78.9,73.1,73.6,88,66058,4952998.1
3/5/20,79.7,79.7,77,77,41,14347,1114109.8
3/4/20,81,81,78,78.8,61,16503,1306266.4
3/3/20,82,82.5,81,81,82,55426,4535821.9
3/2/20,79.8,82,79,80.9,30,5604,449189.1
2/28/20,82,82,78.2,79,62,30215,2396999
2/27/20,78.6,83,78.5,80,86,65298,5225956.7
2/26/20,81,84.7,78.6,79.4,120,40482,3241694.3
2/25/20,87,87,80.1,80.6,39,15710,1310461.8
2/24/20,88,88,86,86,39,18786,1631466.8
2/20/20,88.2,88.8,87.5,87.5,30,22155,1939448.6
2/19/20,87.5,89.5,87.5,88.6,48,12129,1079872.8
2/18/20,87.5,88,86.6,86.9,16,431,37470.8
2/17/20,87.5,87.5,87,87.1,21,6073,529682
2/14/20,87,88.6,86,86.3,39,7906,683641.8
2/13/20,89.5,89.5,86.6,86.9,61,22208,1942105.1
2/12/20,87.8,90,87,88.5,222,155487,13754164.4
2/11/20,86,87,85,85.4,77,152819,13135126.3
2/10/20,86.2,87.8,85,85.1,65,22817,1957585.6
2/7/20,87.5,88,86.1,86.1,26,14232,1238168.4
2/6/20,87,87.5,86,87.1,79,82931,7136456.6
2/5/20,85.5,86,85,86,53,14696,1255452.1
2/3/20,86,86,84,85,27,89905,7557714
1/31/20,83.5,84.4,82.5,84,31,15660,1312617.6
1/30/20,84.9,84.9,82,83.5,25,9748,810244.4
1/29/20,84.5,84.9,82.9,83.9,88,66839,5604394
1/28/20,83,83.6,82,82.5,101,86339,7090941.3
1/27/20,88,88,84,85,40,13855,1173129.1
1/24/20,84,88.5,84,87.5,331,324477,28057578.9
1/23/20,83,84,82.1,84,33,21590,1799290.6
1/22/20,82,84,81.9,83.3,49,36877,3030100
1/21/20,80.6,81.2,80.1,80.9,58,48847,3941584.5
1/20/20,83,83.8,81,81.2,51,24884,2040418.1
1/17/20,83.2,84.5,83.2,83.8,46,75179,6321426.3
1/16/20,83.5,83.5,82.5,83,16,987,81569.6
1/14/20,83.6,83.8,83,83,18,8173,682868.9
1/13/20,84.5,84.5,83.5,84,28,8441,708342
1/9/20,79.1,85,79.1,84,67,29452,2470072.3
1/8/20,85,85,78.1,78.9,102,67602,5418937.2
1/7/20,84,85.9,82.8,83.2,49,49750,4173793.5
1/6/20,87,87,85,85,55,32370,2780885.5
1/3/20,88.5,89.3,87,87.3,34,19581,1714630
1/2/20,91,91,88,88.3,31,17902,1583469.2
