Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/4/21,55,56.1,55,55.8,422,1223211,68251287.5
6/3/21,55.9,56,55.1,55.9,407,991536,55306826.5
6/2/21,55.9,56,55.1,55.7,433,959360,53569568
6/1/21,55.6,56.1,54.7,55.7,676,946537,52310238.3
5/31/21,56,56.8,55,55.6,1000,1871821,104870662.3
5/28/21,54.8,56.6,54.8,55.9,1539,2592232,144284095.4
5/25/21,52.8,54.7,52.8,54.3,1067,1461931,78854669.1
5/24/21,52,52.9,51.8,52.7,412,707337,37011735.8
5/21/21,52.7,52.7,51.6,52.1,559,2295477,119543701.9
5/20/21,52.9,52.9,51.8,52,362,1601189,83216453.3
5/19/21,52.2,52.9,51.9,52.4,458,528819,27581817.2
5/18/21,52.2,52.3,51.7,52.2,560,1120518,58288417.9
5/17/21,50.6,52,50.6,51.9,462,606055,31285480.8
5/13/21,49.8,50.7,49.7,50.2,401,373219,18772812.1
5/12/21,50.1,51.4,49.9,50.2,498,660741,33409068.2
5/11/21,49.9,50,49.3,49.7,402,244294,12161478.3
5/10/21,51.1,51.1,49.8,49.9,586,951202,47562091.8
5/7/21,50.2,51.4,50.1,51,470,1832013,93854115.2
5/6/21,50,51,50,50.1,372,821095,41101709.8
5/5/21,50,50,49.3,49.7,303,1510561,76221149.9
5/4/21,49.2,50,49,49.4,447,721133,35506059.1
5/3/21,50,50,49.1,49.2,467,847113,43099700
4/30/21,48.9,50.1,48.8,49.8,238,183967,9138470.3
4/29/21,49.6,49.8,48.5,48.7,773,793776,38714486.1
4/28/21,48.3,49.8,48.2,49.5,722,808588,39862775.2
4/27/21,49.8,49.8,48,48.3,1559,1463862,71090210
4/23/21,50.5,50.6,49.9,50.1,1402,3801097,190571746.4
4/22/21,51.8,51.9,50.9,51,829,2375465,121467629.7
4/21/21,51.5,52,50.5,51.6,1257,1938172,99203455.1
4/20/21,54,54,51.5,51.8,1638,1945466,101597295.3
4/19/21,54,54.1,53.4,53.5,676,778156,41704115.6
4/16/21,54.8,54.8,53.6,53.9,548,531892,28665613.3
4/15/21,55,55,53.7,53.9,1030,1649670,89438086.1
4/12/21,55.9,55.9,54.1,54.8,608,759835,41823855.3
4/9/21,56,56.5,55.1,55.4,702,1930154,107913410.8
4/8/21,53.9,56.1,53.6,55.8,885,4786052,260788363.1
4/7/21,54,54.3,53.5,53.9,698,3137676,169131620.7
4/6/21,52.5,54,52.5,53.5,693,2818549,149830892.9
4/5/21,53.5,53.6,52.2,52.4,1216,1775889,93295674
4/1/21,53.8,53.8,53.3,53.5,726,628215,33606679.9
3/31/21,54.3,54.3,53,53.8,989,559907,30045766.9
3/30/21,57,57,56.4,56.6,1103,1374326,77999468.8
3/29/21,57,57.5,56.5,56.8,1137,1220999,69509115.4
3/26/21,55,57,54.2,56.1,1001,2188139,123358022.8
3/25/21,55,56,54,54.9,1158,1009880,55630799.1
3/24/21,51.8,54.9,51,54.7,1296,1884622,100242113.4
3/23/21,54.9,54.9,50,51.5,1351,1244941,63740857.2
3/17/21,154.75,154.75,153.75,154.25,495,589857,90951297
3/16/21,156,156,153.25,154.25,418,312670,48217152
3/15/21,155,156,154,154.25,404,595268,92242665
3/12/21,155,156.5,154.25,155,375,519597,80572078.25
3/10/21,157,157,152.5,153,391,142239,21802722
3/9/21,154,159,154,155.25,599,254402,39729646.5
3/8/21,154,154,151,153.25,510,321280,49067379.75
3/5/21,151,152.75,149.25,150.25,820,1033575,155238891.5
3/4/21,154,154,150.25,150.5,533,211773,32014957.5
3/3/21,157.5,157.5,150.25,151,732,343442,52056523.25
3/2/21,156,157,154,154.5,685,4020982,623578908.8
3/1/21,159,159,156,156.5,449,232565,36516889.5
2/25/21,154,158,154,155.75,642,5127803,793186012.8
2/24/21,155,156,153,154,646,2256553,346340167.5
2/23/21,159.75,159.75,154,154.5,884,921045,143481142
2/22/21,160,162,158,158.25,670,230109,36486349.25
2/19/21,160,160,157.5,159.5,836,2172373,344592845.3
2/18/21,163,164,158,160,734,1052014,168401231.5
2/17/21,164.75,164.75,155.25,160,1344,1214466,194007778.3
2/16/21,169.75,174.75,163.75,165,1102,1736330,286910782.8
2/15/21,176,180,166.75,167.75,1239,1112594,188449367.3
2/12/21,166,175,166,174.25,1559,1246369,212283992.3
2/11/21,165,166.75,145.5,165,1863,1267746,200691018
2/10/21,167.5,169,163,163.75,1140,836304,137882740.8
2/9/21,170,170,160.5,167.5,1490,802338,132277527.5
2/8/21,180,180,168.75,169.25,2313,1728418,297154898.8
2/5/21,183,183,175.25,176.25,2108,3198324,570604152.8
2/3/21,183,190,175,179.75,2211,1907802,343970118.3
2/2/21,196,197,175.5,180.5,2749,2394310,444925689
2/1/21,209,210,193.25,195.25,3824,2948613,590381193.8
1/29/21,205.5,250,197.75,201.5,11385,14479834,2996627184
1/27/21,170,170,165.25,166.75,728,667894,111744899.3
1/26/21,174.5,175,169,170.25,767,1249126,214418661.3
1/25/21,165,174,164.25,171.5,976,1385214,233962552.8
1/22/21,166.25,167.5,161.75,163.25,816,1216227,197689254.5
1/21/21,167,169.5,162.25,165.5,827,3632132,614755184.3
1/20/21,165,170,157.25,166.75,1670,1449326,240367020.5
1/19/21,148,166.5,148,162,1885,1724527,270720145.8
1/18/21,143,150,143,146.75,991,1317650,193381805
1/15/21,138,143,138,141.25,573,494739,69393995.5
1/13/21,140,140,137.5,138.25,576,259141,35973412
1/12/21,141,141,139.5,140,329,232347,32585398.5
1/11/21,142,142.5,141,141,273,291868,41344175
1/8/21,141.5,142.5,141,142,244,369160,52373014
1/7/21,141.5,141.7,139,141.3,383,270983,38123823.1
1/6/21,142.5,142.9,137.1,141.7,452,244381,34547742.2
1/5/21,141.1,143.4,141,142.5,626,846367,120814595.2
1/4/21,138,141.1,136,140.8,603,428414,59777266.3
12/31/20,134.5,138,134.5,135.6,279,228809,30939747.4
12/30/20,134.5,135.5,134.3,134.5,240,107002,14430311.7
