Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/4/21,39.9,40,39.5,39.7,127,987525,39340896.6
6/3/21,39.9,39.9,39.6,39.7,49,62734,2493486.1
6/2/21,40,40,39.8,39.9,56,274503,10952059.7
6/1/21,40,40,39.9,40,55,423478,16928284.9
5/31/21,39.9,40.2,39.9,40,59,578587,23122598.1
5/28/21,40,40.6,40,40,75,743379,29813925.4
5/25/21,40,40,39.8,40,16,7031,281179.7
5/24/21,39.9,40,39.8,40,20,126469,5056355
5/21/21,40.2,40.3,39.7,40,84,949018,38003333.7
5/20/21,40,40.2,39.6,40,34,604892,24020648.8
5/19/21,40,40.4,39.5,40,22,101231,4003359.6
5/18/21,39.5,40,39.5,40,40,7115394,282485580.3
5/17/21,39.5,39.9,39.5,39.7,45,407489,16176566.2
5/13/21,39.5,39.9,39.3,39.5,46,839774,33174414.3
5/12/21,39.8,39.8,39.5,39.6,43,268584,10659778.3
5/11/21,39.5,39.8,39.3,39.8,82,570187,22522578
5/10/21,39.6,39.8,39.5,39.5,47,313801,12395925.1
5/7/21,39.5,39.8,39.5,39.7,49,336352,13301298.6
5/6/21,39.8,39.8,39.5,39.5,50,771425,30487680.8
5/5/21,39.9,39.9,39.5,39.5,26,21270,840465
5/4/21,40,40,39.5,39.5,28,579441,22888182.1
5/3/21,39.5,40,39.5,39.5,31,70475,2784207.3
4/30/21,39.7,39.9,39.6,39.9,18,11786,470104.9
4/29/21,40.5,40.9,39.5,39.6,69,843539,33377979.4
4/28/21,39.9,40,39.2,39.9,47,753387,29427154.6
4/27/21,40,40.5,39,39.1,90,100832,3955745.2
4/23/21,40.5,40.8,39,39.4,94,702433,28035209
4/22/21,40.8,41.3,40.5,40.5,26,59867,2438630.1
4/21/21,40.2,41.5,40.1,41,37,49800,2033644.8
4/20/21,41.5,41.5,40.6,41,43,60251,2474545
4/19/21,42.9,42.9,42,42,12,33740,1423798.5
4/16/21,42.6,42.9,42.5,42.8,43,72434,3086857.9
4/15/21,42.1,42.9,41.4,42.6,68,104305,4428721.9
4/12/21,43.4,43.4,42.1,42.8,22,9443,398818.5
4/9/21,43.5,43.9,42.5,43,64,200492,8632935.4
4/8/21,42,43.2,42,43,116,512527,21972767.3
4/7/21,41,42.5,41,42,107,384411,16108137.2
4/6/21,40.5,41,40.4,40.9,33,54534,2231509
4/5/21,40.9,40.9,40,40.1,28,7086884,276516554
4/1/21,40.1,40.9,40.1,40.3,15,7144,287051.6
3/31/21,40.4,40.5,40,40,28,95171,3837520.3
3/30/21,40,40.7,40,40.4,28,93234,3745574.2
3/29/21,40,40.1,40,40,28,69734,2789440
3/26/21,40,40.2,40,40,18,55192,2208606
3/25/21,40,40.2,40,40,61,222653,8906572.5
3/24/21,39,39.5,38.6,39.4,23,100918,3962244.5
3/23/21,38.1,39,38.1,38.7,16,15483,599909.2
3/22/21,38.6,39,38,38.1,38,18396,703722.5
3/19/21,38.5,39,38.1,38.7,33,189764,7288680.5
3/18/21,39.5,39.5,38.3,38.5,53,62477,2414540.8
3/17/21,39.5,40,39.2,39.5,30,36355,1436722.7
3/16/21,40,40,39.5,39.6,27,52921,2106390.1
3/15/21,40.1,40.5,39.7,40,42,459631,18384616.3
3/12/21,40.5,40.5,40.1,40.1,13,1798,72114.6
3/10/21,40,40.8,40,40.1,25,320137,12822495.4
3/9/21,40,40.9,40,40.7,48,151840,6111862.8
3/8/21,39.9,40.4,39,39.9,66,2012799,78750540.9
3/5/21,39.9,40.5,38,38.5,80,162392,6295822.4
3/4/21,40.2,40.5,39.8,39.9,39,103735,4144451
3/3/21,40.1,40.8,40,40,91,892587,35713692.9
3/2/21,41,41.4,40,40.1,38,122413,4929249.9
3/1/21,41.7,41.8,40.5,40.9,20,17810,733222.5
2/25/21,41.8,41.8,40,40.6,39,15543,629678.3
2/24/21,40,41.5,40,41,77,1245175,51142870.6
2/23/21,40,41.7,39.8,40,174,2382534,95808142.9
2/22/21,44.8,44.8,41,42.5,141,282081,12050606.9
2/19/21,42.3,44.9,42.3,44,595,3576861,157496471.3
2/18/21,41,42.4,40.8,42,127,975416,40886633.1
2/17/21,41,41,40,40,115,522232,20939666.3
2/16/21,42,42,40.5,40.6,127,2412122,98399817
2/15/21,41.8,43.2,41.6,42,265,1292328,54326749.3
2/12/21,39.4,41,39,40.8,93,76176,3066642.1
2/11/21,39.2,40,36.1,39.4,111,398185,15291454.8
2/10/21,40.5,40.5,39.1,40,130,353580,14162183.3
2/9/21,41,41.2,40,40.5,109,265907,10827238.2
2/8/21,41.3,41.3,40.6,40.9,99,603998,24826260.2
2/5/21,41.4,41.9,41,41.2,92,1114426,45720424
2/3/21,41,42,39.3,41,114,426817,17502820.8
2/2/21,42.5,42.7,39,39.9,241,957646,38553977.4
2/1/21,44.3,44.3,42.5,42.7,152,868482,37604617
1/29/21,46,46,44,44.3,113,683011,30635585.3
1/27/21,46.2,46.5,45,45.7,135,444621,20346497.3
1/26/21,45.3,46.4,45,46.1,233,1634218,74352563.1
1/25/21,45,45.6,44,45,296,9112329,409676471.8
1/22/21,42.6,45.1,42.5,45,349,1697843,74915523.6
1/21/21,40.6,43.2,40.5,42.5,333,1641114,68563104.2
1/20/21,40.5,40.7,39.5,40.6,115,409301,16435158
1/19/21,39,41,39,40.7,327,1752092,70722447.2
1/18/21,39.1,39.9,38.6,39.1,146,710809,27732851.2
1/15/21,38.5,40.1,38,39.1,189,966529,38191030.5
1/13/21,38,39,37.5,39,187,851958,32914899.4
1/12/21,38.5,38.5,37.5,38,93,316548,12004295
1/11/21,38.7,39,38.1,38.4,65,650499,25001125.9
1/8/21,39,39.1,38.6,38.7,52,610000,23778309.4
1/7/21,38.7,39.2,38.5,39,71,228916,8878638.7
1/6/21,38.5,39,38,39,77,276421,10741179.6
1/5/21,39,39,38.4,38.5,94,1555169,60376828.9
1/4/21,38,39,37.9,38.5,139,690078,26333727.6
12/31/20,38.2,38.4,38,38,108,1203874,45756547.2
12/30/20,38.1,38.8,38,38.5,57,57376,2200474.6
12/28/20,38.5,38.5,38,38,46,152556,5823155.3
12/24/20,38.4,39.3,38.4,38.7,72,112672,4368815.9
12/23/20,37,38.5,37,38.3,124,1158647,43087632.4
12/22/20,37.6,37.6,37,37.1,213,1204920,44660801.2
12/21/20,37.5,38,37.5,37.8,29,26926,1016284.2
12/18/20,38.6,38.6,37.2,37.9,61,629998,23921859.9
12/17/20,38.1,38.8,38.1,38.6,66,327129,12610678.7
12/16/20,39.3,39.3,38.8,39,77,869802,33924173.5
12/15/20,39,39.4,38.8,39.3,93,159425,6248238.7
12/14/20,38.7,39.1,38.7,39,85,261545,10193547.7
12/11/20,38.6,38.9,38.5,38.8,70,292456,11337448.9
12/10/20,39.2,39.3,38.7,38.9,109,700760,27331021.3
12/9/20,39.3,39.3,38.2,39.1,166,713151,27736715.8
12/8/20,40,40,38,39,293,2205295,86000036
12/7/20,37,39.9,37,39.3,419,2654377,101992910.2
12/4/20,36.5,37.1,36.2,37,176,804455,29588657
12/3/20,36.5,36.5,35.5,36.2,103,163477,5890478.3
12/2/20,36.9,36.9,36.3,36.6,129,331519,12118692.6
12/1/20,35.5,37,35.5,36,288,550483,20025864.7
11/30/20,34.2,35.6,34.2,35.2,219,867596,30470801
11/27/20,33.9,34.4,33.9,34.1,83,66919,2281756.5
11/26/20,33.9,33.9,33.5,33.8,52,70347,2370592.2
11/25/20,33.5,33.9,33.2,33.8,68,1115859,37395975.8
11/24/20,34,34,33.5,33.8,39,27072,914574.5
11/23/20,33.5,34,33.5,33.8,48,58588,1988826.1
11/20/20,33.5,34,33.5,33.7,66,69995,2369040.6
11/19/20,34.1,34.1,33.4,33.6,57,169094,5674763.5
11/18/20,33.4,34,33.3,33.9,167,2048884,68495233.1
11/17/20,33,33.4,32.5,33.3,79,90414,2978071
11/16/20,32.5,33,32.2,32.5,61,248029,8069622.8
11/13/20,32,32.9,32,32.5,109,303541,9756048.5
11/12/20,33,33.4,32,33,56,212664,6910658.6
11/11/20,33.5,34,33,33.5,166,704752,23652721.4
11/10/20,33.5,33.7,33.2,33.5,136,377878,12660771.4
11/9/20,33,33.4,32.5,33,124,306931,10099201.9
11/6/20,31,33,31,32.9,268,765036,24774038.2
11/5/20,30.4,31.7,30,31,163,342998,10509089.6
11/4/20,29.5,30.5,29.4,29.9,134,428667,12773525.7
11/3/20,29.5,29.5,29.1,29.1,170,408614,11908338.8
11/2/20,29.5,29.5,28.9,29,148,242520,7035322.8
10/29/20,29.1,29.9,29,29.6,48,69871,2032077.1
10/28/20,29.7,29.9,29,29.1,77,75487,2196793.5
10/27/20,30,30,29.3,29.4,95,81628,2408520.3
10/26/20,30,30,29.3,29.4,87,1735523,51367570.8
10/23/20,30.5,30.9,30,30.1,56,90640,2748526.5
10/22/20,29.1,30,29,29.6,157,303715,8971807.5
10/21/20,31,31.2,29.1,29.5,341,640721,19097620.4
10/20/20,30.5,31.2,30.1,30.9,85,187778,5768627.1
10/19/20,31.5,31.9,30.3,30.5,130,136859,4196920.5
10/16/20,31,31.8,30,31,151,321469,9846238.9
10/15/20,32,32,31,31.2,98,189324,5941892.3
10/14/20,30.9,31.9,30.5,31.2,112,209458,6515604.3
10/13/20,32.5,32.7,30.9,31,137,248518,7941643
10/12/20,33.2,33.8,32,32.4,124,271379,8866783.6
10/9/20,32,34,32,32.8,166,473435,15648080
10/8/20,30,32.4,30,31.3,134,310112,9825480.1
10/7/20,30.5,31.9,30,30.1,236,553532,17068280.8
10/6/20,30,32.4,29.5,31,348,975165,30510875.6
10/5/20,33.5,33.5,29.6,30.8,385,537393,16757632.6
10/2/20,35,36.4,35,35.8,311,789038,28318520.2
9/30/20,33.9,34.9,33.9,34.9,236,560581,19409901.5
9/29/20,33.5,33.9,33,33.8,144,323574,10859320.3
9/28/20,33.2,33.8,32.8,33.5,116,294378,9845056.2
9/25/20,32.9,33.3,32.8,33,31,37531,1238808.6
9/24/20,33.5,33.5,33,33.1,63,107826,3568475.7
9/23/20,33.5,33.7,32.6,33.2,48,28241,930733.4
9/22/20,34,34.4,33.3,33.4,84,86861,2934912.6
9/21/20,33.6,34.2,32.9,34.1,135,348362,11739273.5
9/18/20,34.4,34.7,33.5,33.7,145,381137,13026979.9
9/17/20,33.5,34.5,33.5,34,207,539274,18323500.3
9/16/20,32.7,34,32.7,33.4,369,903502,30426857.5
9/15/20,31.7,32.9,31.7,32.5,252,1141053,36969749.4
9/14/20,30.5,31.7,30.2,31.4,196,452359,13980271.9
9/11/20,30,30.4,29.9,30.2,41,72856,2194591.7
9/10/20,30.2,30.3,29.8,29.9,65,58172,1742058.1
9/9/20,30,30.1,29.9,30,68,147570,4427457.3
9/8/20,29.6,30,29.6,30,31,219758,6584565.9
9/7/20,30,30,29.4,29.6,92,110203,3268691.3
9/4/20,30,30.4,29.8,29.9,152,266856,8024404.2
9/3/20,30,30,29.6,29.9,115,1261478,37362302.2
9/2/20,30.5,30.5,29.5,29.7,144,689628,20479684.1
8/31/20,29.4,30,29.3,30,64,140815,4221541.6
8/28/20,29.9,29.9,29,29.8,35,30706,893794.2
8/27/20,29.9,29.9,29.5,29.6,43,29697,879979.7
8/26/20,29.9,29.9,29.8,29.9,34,11029,328711.2
8/25/20,30,30,29.8,30,16,6508,195118.1
8/24/20,30,30.5,29.7,30,72,127715,3829068
8/21/20,29.8,29.9,29.6,29.7,76,82018,2441078.9
8/20/20,30,30,29.7,29.8,84,117102,3497716.5
8/19/20,29.9,30.5,29.6,30,59,100214,3004220.2
8/18/20,30,30.1,29.8,29.9,52,312375,9368499.8
8/17/20,30,30.1,29.4,29.8,58,85364,2549392.9
8/14/20,30,30,29.5,29.7,78,94992,2833475.8
8/13/20,30.2,30.4,30.1,30.1,35,53866,1626550.5
8/12/20,30.4,30.5,30.2,30.4,29,21048,639828.9
8/11/20,30.1,30.4,29.9,30.2,32,32843,988040.1
8/10/20,30.3,30.4,30,30,47,144450,4339106
8/7/20,30.4,30.6,30,30.2,60,222696,6697276.1
8/6/20,30.3,30.4,30,30,59,109289,3280515
8/5/20,30.2,30.5,30.2,30.4,25,19570,594532.9
8/4/20,30,30.2,30,30.1,52,194679,5852366.9
7/31/20,29.5,30.2,29.5,29.8,134,1089153,32155409.7
7/30/20,29.4,29.5,29.3,29.4,42,103588,3043854.3
7/29/20,29.5,29.5,29.3,29.5,35,46637,1372433.9
7/28/20,29.5,29.8,29.5,29.5,52,77560,2290376.4
7/27/20,29.6,29.8,29.4,29.6,61,66883,1981010.7
7/24/20,29.4,29.6,29.4,29.5,63,90209,2657477.6
7/23/20,29.5,29.6,29.5,29.6,16,87968,2595366.3
