Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/4/21,74,74.5,72.8,72.9,218,265644,19520103.8
6/3/21,69.7,74.5,69.4,72.5,472,513699,36978932.6
6/2/21,70.5,70.5,69,69.7,93,160086,11188110.4
6/1/21,70.7,71,70.4,70.5,77,125257,8846219.7
5/31/21,70.5,70.8,70.1,70.5,124,265406,18694972.6
5/28/21,69.2,70.8,69.2,70.2,118,229600,16083904.3
5/25/21,71,71,68.4,68.5,235,178536,12319617.9
5/24/21,70,70,69.4,69.5,38,21337,1488940.4
5/21/21,70.5,71,68.2,69.4,98,113297,7832908.5
5/20/21,71,71.9,69.5,70.1,105,119325,8427302
5/19/21,71.9,72.4,70.6,71.5,166,266570,19034350.6
5/18/21,69,71.8,68.5,71.1,155,149401,10447889.5
5/17/21,68.1,70,68.1,69.3,145,202155,13996916.9
5/13/21,66.3,68.5,66.1,68.2,77,41611,2782867.1
5/12/21,67.3,68.1,66.7,67.2,98,178755,12133661.1
5/11/21,69,69,67.4,67.5,52,86698,5867450.7
5/10/21,69.3,69.3,67.2,67.8,94,116715,7894321.5
5/7/21,68,69.5,67.5,69.4,85,89912,6125312.6
5/6/21,68,68.4,67.5,67.7,89,243969,16521005.1
5/5/21,66.6,68,66.1,67.6,61,79397,5376660.6
5/4/21,68.9,68.9,66.4,66.6,176,713113,47531375.5
5/3/21,69,69.9,66.5,67.1,222,557613,37531091.2
4/30/21,70,70,69.5,69.9,55,77813,5441829
4/29/21,74,74,69,70.5,97,67797,4799058.6
4/28/21,67,72.4,66.6,70.3,212,336099,23225188.7
4/27/21,68,69,66.2,66.5,257,216054,14578575.3
4/23/21,71,71,67.9,69.1,203,135479,9349447.2
4/22/21,72.5,74,70.8,71.1,133,124191,8888260.9
4/21/21,74,74,71.5,72.5,148,311793,22579658.8
4/20/21,75,75,71,71.3,282,423336,30773423.2
4/19/21,76.5,76.5,74.6,75,211,797781,59867268.9
4/16/21,77,77.1,73.5,76.5,244,354320,26842122.8
4/15/21,75.5,77.4,75.2,77,267,455376,34925907.3
4/12/21,75,76.7,74.5,75,237,936852,70267712.3
4/9/21,76.3,77,74,75,226,459412,34734129.8
4/8/21,72.5,76.5,70.6,75.8,353,682028,50981703.6
4/7/21,73,74.5,70.7,72.6,205,180753,13227173.7
4/6/21,70.9,73,70,72.9,193,161118,11648960.8
4/5/21,68,71.5,67.5,70,186,318977,22182779.9
4/1/21,67.9,68,66.4,67.5,92,237882,16017513.5
3/31/21,67.5,67.5,65.9,66.7,85,46966,3116255.5
3/30/21,67,67.5,66.5,67,47,91990,6159216
3/29/21,67.2,67.5,66.5,67,64,32790,2199959.1
3/26/21,66.8,68,66.5,67.1,89,460486,32066200.8
3/25/21,69.5,69.5,66.8,67.4,88,100667,6833139.8
3/24/21,64,69.9,64,68.5,176,135088,9114042
3/23/21,65,66,62.8,64.9,158,113147,7221990.5
3/22/21,64.5,66.9,63.9,64,212,426176,27403407
3/19/21,63.8,65,63.3,63.6,157,308222,19736983.3
3/18/21,65.9,66.5,63.8,64.3,218,303061,19543177
3/17/21,69,69,66,66.5,122,51842,3464914.1
3/16/21,68.9,68.9,67,67.4,133,103098,6963947.3
3/15/21,69.5,69.5,67,68,127,63457,4308437.7
3/12/21,69,70.2,69,69.5,98,67525,4700832.1
3/10/21,69.5,70.5,69.3,69.7,52,18468,1294160.1
3/9/21,72.5,74.5,69.4,70.4,244,196445,14232961.8
3/8/21,68,71.9,66.8,71.3,251,533003,37646415.6
3/5/21,66.5,68.9,64,67.2,314,626146,41624274.7
3/4/21,68.5,71.9,65.8,66.1,235,217650,14540584.7
3/3/21,71,71,67.5,69.1,226,325839,22332756.7
